년도,월,가격 (원)
2008,1,2373.0
2008,2,2413.0
2008,3,2436.0
2008,4,2510.0
2008,5,2511.0
2008,6,2655.0
2008,7,2871.0
2008,8,2960.0
2008,9,3030.0
2008,10,2652.0
2008,11,2765.0
2008,12,3084.0
2009,1,3474.0
2009,2,4018.0
2009,3,4065.0
2009,4,3845.0
2009,5,4000.0
2009,6,3198.0
2009,7,2809.0
2009,8,2853.0
2009,9,2813.0
2009,10,2686.0
2009,11,2536.0
2009,12,2581.0
2010,1,2826.0
2010,2,3010.0
2010,3,3124.0
2010,4,3365.0
2010,5,3915.0
2010,6,3606.0
2010,7,3414.0
2010,8,3393.0
2010,9,3799.0
2010,10,3247.0
2010,11,3614.0
2010,12,3917.0
2011,1,4288.0
2011,2,4181.0
2011,3,3815.0
2011,4,3790.0
2011,5,3809.0
2011,6,3626.0
2011,7,4195.0
2011,8,3715.0
2011,9,3846.0
2011,10,3677.0
2011,11,3733.0
2011,12,3919.0
2012,1,3880.0
2012,2,3331.0
2012,3,3731.0
2012,4,3932.0
2012,5,3708.0
2012,6,3334.0
2012,7,3386.0
2012,8,2968.0
2012,9,3038.0
2012,10,3026.0
2012,11,3039.0
2012,12,3284.0
2013,1,2888.0
2013,2,3639.0
2013,3,3852.0
2013,4,4451.0
2013,5,5475.0
2013,6,4386.0
2013,7,4026.0
2013,8,3564.0
2013,9,3344.0
2013,10,3279.0
2013,11,3230.0
2013,12,3225.0
2014,1,3422.0
2014,2,4073.0
2014,3,3891.0
2014,4,4259.0
2014,5,3512.0
2014,6,4046.0
2014,7,3931.0
2014,8,3534.0
2014,9,3141.0
2014,10,3703.0
2014,11,3969.0
2014,12,4105.0
2015,1,4408.0
2015,2,5185.0
2015,3,4422.0
2015,4,4469.0
2015,5,4631.0
2015,6,4216.0
2015,7,3366.0
2015,8,2689.0
2015,9,3047.0
2015,10,2868.0
2015,11,2784.0
2015,12,3162.0
2016,1,3140.0
2016,2,2972.0
2016,3,3199.0
2016,4,3610.0
2016,5,3744.0
2016,6,2865.0
2016,7,2818.0
2016,8,2605.0
2016,9,2758.0
2016,10,2863.0
2016,11,2795.0
2016,12,2940.0
2017,1,2922.0
2017,2,2792.0
2017,3,3019.0
2017,4,3000.0
2017,5,3130.0
2017,6,2972.0
2017,7,2891.0
2017,8,2775.0
2017,9,2767.0
2017,10,2961.0
2017,11,2930.0
2017,12,2878.0
2018,1,3052.0
2018,2,2967.0
2018,3,3094.0
2018,4,3212.0
2018,5,3000.0
2018,6,3000.0
2018,7,3193.0
2018,8,3000.0
2018,9,2696.0
2018,10,2287.0
2018,11,2369.0
2018,12,2455.0
2019,1,2530.0
2019,2,2406.0
2019,3,2417.0
2019,4,2023.0
2019,5,1900.0
2019,6,2544.0
2019,7,3188.0
2019,8,2807.0
2019,9,2492.0
2019,10,2005.0
2019,11,2512.0
2019,12,2833.0
2020,1,3000.0
2020,2,3481.0
2020,3,3451.0
2020,4,3200.0
2020,5,3350.0
2020,6,3500.0
2020,7,3650.0
2020,8,2971.0
2020,9,3346.0
2020,10,3481.0
2020,11,3548.0
2020,12,3083.0
2021,1,3379.0
2021,2,3360.0
2021,3,3565.0
2021,4,2755.0
2021,5,4700.0
2021,6,4205.0
2021,7,3025.0
2021,8,3008.0
2021,9,3504.0
2021,10,3310.0
2021,11,3422.0
2021,12,3437.0
2022,1,3579.0
2022,2,3847.0
2022,3,3695.0
2022,4,4646.0
2022,5,5597.0
2022,6,4638.0
2022,7,3936.0
2022,8,3543.0
2022,9,2733.0
2022,10,2875.0
2022,11,2989.0
2022,12,3103.0
2023,1,3217.0
2023,2,3331.0
2023,3,3445.0
2023,4,3527.5
2023,5,3610.0
2023,6,2591.0
2023,7,2365.0
2023,8,2932.0
2023,9,2875.0
2023,10,2489.0
2023,11,2649.0
2023,12,3198.0
