년도,월,생산량(톤),재고량(톤),산지가격(신선냉장)(원/kg),산지가격(냉동)(원/kg),도매가격(신선냉장)(원/kg),도매가격(냉동)(원/kg),소비자가격(신선냉장)(원/kg),소비자가격(냉동)(원/kg)
2013년,12월,22510,74415,2661,,2995,2335,8874,6137
2014년,01월,6480,76582,3621,,3223,2376,9440,6211
2014년,02월,3783,71248,3822,,3348,2458,10109,6286
2014년,03월,3057,63630,3979,,3564,2621,9723,6251
2014년,04월,1649,56994,4657,,3502,2646,10943,6346
2014년,05월,707,52386,4450,,3516,2678,10617,6371
2014년,06월,1121,43215,3561,,3727,2660,10063,6251
2014년,07월,4975,39332,2861,,3741,2720,9937,6614
2014년,08월,16920,40448,2297,,3665,2691,9154,6614
2014년,09월,14830,39012,2368,,3772,2680,9103,6494
2014년,10월,12313,37345,3692,,4183,2788,9589,6297
2014년,11월,29140,57172,3680,,4564,2903,9880,6317
2014년,12월,32475,79071,4456,,4875,2951,10309,6526
2015년,01월,15605,99787,5147,,4799,2857,10611,6391
2015년,02월,7197,101974,4919,,4986,2951,11420,6431
2015년,03월,14572,104241,5207,,4894,3042,11177,6520
2015년,04월,10416,103764,5201,,4920,3080,10389,6543
2015년,05월,348,99352,,,4980,3080,10243,6869
2015년,06월,3803,91186,4128,,4798,3072,10200,6614
2015년,07월,6842,85056,2720,,3866,2984,8574,6326
2015년,08월,17472,85897,1657,,3457,2869,7420,6289
2015년,09월,12325,82090,2046,,3662,2860,7726,6126
2015년,10월,13684,83437,2594,,3511,2837,7777,6086
2015년,11월,15341,88571,3027,,3817,2820,7851,6100
2015년,12월,14130,97267,2650,,3863,2820,8169,6126
2016년,01월,15198,95082,3562,,3934,2820,8029,6480
2016년,02월,2244,80409,3825,,4404,2952,8451,6409
2016년,03월,3450,67430,4435,,4620,2944,8769,6431
2016년,04월,5550,62091,4855,,4898,2910,9031,6409
2016년,05월,2247,53121,5006,,4925,2940,9491,6266
2016년,06월,2046,50645,3333,,4309,2940,8403,6223
2016년,07월,5633,45700,2146,,4445,2976,8480,6363
2016년,08월,13531,44753,1819,,4004,3016,8417,6329
2016년,09월,19168,43193,1693,,3785,3027,8374,6334
2016년,10월,19837,46465,1918,,3879,3141,8206,6354
2016년,11월,28583,59319,2471,,4176,3240,8149,6317
