년도,월,고등어(냉동) (원/kg),"고등어(신선,냉장) (원/kg)",수입량(톤)
2014 ,1 ,2955,,3476
2014 ,2 ,2974,,1101
2014 ,3 ,2562,,2011
2014 ,4 ,2688,,2454
2014 ,5 ,2679,,1995
2014 ,6 ,2379,,1452
2014 ,7 ,2510,,1419
2014 ,8 ,2676,,699
2014 ,9 ,2110,,246
2014 ,10 ,2104,,1138
2014 ,11 ,2412,,5869
2014 ,12 ,2478,,11651
2015 ,1 ,2410,,10685
2015 ,2 ,2285,,4524
2015 ,3 ,2075,,7566
2015 ,4 ,2125,2378,6118
2015 ,5 ,2288,2105,3756
2015 ,6 ,2288,2330,3263
2015 ,7 ,2199,,2297
2015 ,8 ,2388,,1056
2015 ,9 ,2562,,768
2015 ,10 ,2467,,1208
2015 ,11 ,1983,,3481
2015 ,12 ,2051,,6780
2016 ,1 ,2059,,5067
2016 ,2 ,2173,,4484
2016 ,3 ,2114,,3954
2016 ,4 ,2034,,4557
2016 ,5 ,1904,3068,3880
2016 ,6 ,2073,,5000
2016 ,7 ,2132,,2183
2016 ,8 ,2097,,1789
2016 ,9 ,2012,17659,656
2016 ,10 ,2093,,703
2016 ,11 ,2439,,2645
2016 ,12 ,2219,,9958
2017 ,1 ,2312,,8578
2017 ,2 ,2074,,4650
2017 ,3 ,2242,4301,3583
2017 ,4 ,1967,3318,3921
2017 ,5 ,1515,3343,4320
2017 ,6 ,2237,,3289
2017 ,7 ,1933,,2086
2017 ,8 ,2342,,1828
2017 ,9 ,2283,,1197
2017 ,10 ,2588,,1169
2017 ,11 ,2102,,2918
2017 ,12 ,1989,,7746
2018 ,1 ,2038,,10666
2018 ,2 ,2049,,6115
2018 ,3 ,2033,,4597
2018 ,4 ,2012,2608,4177
2018 ,5 ,2088,3127,2823
2018 ,6 ,2084,3023,3253
2018 ,7 ,2151,,1959
2018 ,8 ,2128,,1219
2018 ,9 ,1980,,1615
2018 ,10 ,2160,,1189
2018 ,11 ,1640,,900
2018 ,12 ,2494,,3675
2019 ,1 ,2611,,5771
2019 ,2 ,2197,4204,3844
2019 ,3 ,2153,,4736
2019 ,4 ,2329,2953,4060
2019 ,5 ,2189,4983,3599
2019 ,6 ,2801,,2402
2019 ,7 ,2120,,4471
2019 ,8 ,2716,,3709
2019 ,9 ,2769,,1396
2019 ,10 ,2707,,1658
2019 ,11 ,2825,,2744
2019 ,12 ,2838,,4701
2020 ,1 ,2785,,5963
2020 ,2 ,2822,4190,2803
2020 ,3 ,1774,7041,9322
2020 ,4 ,2717,3520,5213
2020 ,5 ,2650,3506,2473
2020 ,6 ,2575,3747,2740
2020 ,7 ,2640,,3060
2020 ,8 ,2702,,2428
2020 ,9 ,2675,,1609
2020 ,10 ,2689,,1265
2020 ,11 ,2125,,1311
2020 ,12 ,2404,,8701
2021 ,1 ,2332,,9483
2021 ,2 ,2389,,4440
2021 ,3 ,2421,,10103
2021 ,4 ,2401,,6925
2021 ,5 ,1984,3790,8019
2021 ,6 ,2481,,3340
2021 ,7 ,2542,,2406
2021 ,8 ,2599,,1139
2021 ,9 ,2612,,606
2021 ,10 ,2639,,658
2021 ,11 ,2588,,1370
2021 ,12 ,3017,,6211
2022 ,1 ,3174,,10142
2022 ,2 ,3186,,4755
2022 ,3 ,3251,,4990
2022 ,4 ,3296,3492,6640
2022 ,5 ,3347,3361,3809
2022 ,6 ,3354,,2788
2022 ,7 ,2974,,3756
2022 ,8 ,3478,,2056
2022 ,9 ,3696,,2194
2022 ,10 ,3607,,679
2022 ,11 ,3507,,563
2022 ,12 ,2900,,9590
2023 ,1 ,2756,,8581
2023 ,2 ,2782,,4351
2023 ,3 ,2739,,7763
2023 ,4 ,2958,,8099
2023 ,5 ,2980,3999,3981
2023 ,6 ,2887,,3398
2023 ,7 ,2778,,1495
2023 ,8 ,2985,,2876
2023 ,9 ,3165,,349
2023 ,10 ,3302,,193
2023 ,11 ,3002,,2127
2023 ,12 ,2918,,10476
2024 ,1 ,2997,,2496
2024 ,2 ,2959,,6121
