구분,국가,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년
기타조제(밀폐용기 이외),노르웨이,96,0,242,0,0,10006,14930,55,16
기타조제(밀폐용기 이외),라트비아,0,0,0,0,0,0,0,3,0
기타조제(밀폐용기 이외),모로코,0,0,0,0,0,0,0,0,5
기타조제(밀폐용기 이외),미국,0,0,1,2,2,6,24,3,6
기타조제(밀폐용기 이외),베트남,781,5,0,0,0,9771,0,0,1507
기타조제(밀폐용기 이외),스리랑카,1598,2700,672,0,240,0,384,0,0
기타조제(밀폐용기 이외),싱가포르,1,0,0,0,0,0,0,0,0
기타조제(밀폐용기 이외),알바니아,0,0,0,0,0,0,200,0,0
기타조제(밀폐용기 이외),영국,0,0,0,0,0,1,0,0,0
기타조제(밀폐용기 이외),이탈리아,0,0,0,0,126,63,0,0,0
기타조제(밀폐용기 이외),인도네시아,2705,448,168,0,0,0,0,0,0
기타조제(밀폐용기 이외),일본,208,47,36,221,145,625,658,261,397
기타조제(밀폐용기 이외),중국,15787,13183,14130,13126,15795,8333,10111,14712,14457
기타조제(밀폐용기 이외),칠레,0,0,0,0,0,0,0,0,1
기타조제(밀폐용기 이외),태국,11906,13911,10231,10988,16124,27579,391,4406,5
기타조제(밀폐용기 이외),포르투갈,0,0,0,0,0,0,1,0,0
기타조제(밀폐용기 이외),호주,0,0,0,0,0,0,0,0,0
냉동,기타,0,0,0,0,0,0,0,0,23100
냉동,네덜란드,192000,202788,218093,416906,817034,25588,278898,352155,587748
냉동,노르웨이,36160020,38765235,36518450,36812060,34876470,36390220,45197400,49312379,51305731
냉동,대만,3300180,95350,0,707680,0,125550,152910,0,1352314
냉동,독일,0,0,66000,0,39880,0,0,190528,184800
냉동,러시아,0,0,66166,23772,0,5440089,3117197,1216795,33580
냉동,리투아니아,0,0,0,0,0,0,0,47600,0
냉동,마카오,0,0,46600,0,0,0,0,0,0
냉동,멕시코,0,0,16710,0,0,122130,0,0,0
냉동,미국,77100,0,0,0,22,0,2970,0,0
냉동,미얀마,3000,0,0,0,0,0,0,0,0
냉동,바누아투,0,0,0,0,0,35198,67039,0,0
냉동,방글라데시,9120,2920,0,20,0,0,0,0,0
냉동,베트남,20007,2200,0,3743,13005,54000,17540,4353,13220
냉동,세네갈,0,0,0,0,0,0,0,0,3
냉동,스페인,55400,0,0,0,0,0,0,0,0
냉동,아르헨티나,0,0,0,0,0,0,8180,0,0
냉동,아이슬란드,31968,58864,22680,3802,6666,0,0,0,0
냉동,아일랜드,0,0,214200,20,240060,271,0,0,15
냉동,에콰도르,0,0,0,0,0,0,0,200,0
냉동,영국,1460000,686660,628800,240000,336000,0,120000,1284200,144000
냉동,이집트,156340,0,0,532720,0,0,0,0,0
냉동,인도,0,0,0,0,0,0,66780,100340,0
냉동,인도네시아,0,2,0,10,7800,13,0,29552,0
냉동,일본,111975,13245,20250,16548,0,90300,203280,133725,5550
냉동,중국,9240014,2678293,1980593,2259065,5576009,3002086,4210044,2677676,4094539
냉동,칠레,0,0,0,0,0,0,0,0,7800
냉동,캐나다,0,20820,0,0,0,0,0,0,0
냉동,탄자니아,0,0,0,0,0,0,51000,0,0
냉동,태국,44353,0,0,0,0,83200,0,26257,67006
냉동,파키스탄,0,0,26000,79650,90150,103500,45000,22500,45000
냉동,패로제도,25000,0,0,0,0,0,0,0,0
냉동,페루,0,1740000,4687500,25660,0,0,0,0,0
냉동,프랑스,0,0,0,0,0,0,0,67704,0
냉동,필리핀,2,1168,0,0,0,0,0,263252,0
냉동,홍콩,0,0,3200,0,0,0,0,0,0
밀폐용기,노르웨이,2,0,0,40,0,0,0,0,0
밀폐용기,덴마크,0,0,0,10,4,18396,2,0,5
밀폐용기,라트비아,0,0,13306,5626,0,0,924,1014,0
밀폐용기,러시아,0,0,0,0,0,0,2928,705,18
밀폐용기,말레이시아,0,0,0,0,0,0,1,0,0
밀폐용기,모로코,125,277,94,214,438,0,0,0,0
밀폐용기,미국,0,6,0,0,4,1,9,12,10
밀폐용기,베트남,189100,148103,169295,289045,308915,315138,190178,276340,293634
밀폐용기,벨라루스,0,0,0,0,0,0,513,2360,0
밀폐용기,스리랑카,3060,2040,2040,0,0,0,0,0,0
밀폐용기,스웨덴,0,0,5490,798,11897,10329,5795,3776,3542
밀폐용기,스페인,1,0,0,0,0,0,0,0,0
밀폐용기,싱가포르,3,3,0,0,0,196,0,0,0
밀폐용기,영국,1,0,0,2,0,0,0,0,0
밀폐용기,이탈리아,11,0,20,0,0,0,0,0,0
밀폐용기,인도네시아,775,1163,1163,388,620,775,775,388,815
밀폐용기,일본,24,0,9,33,1,13,34,136,64
밀폐용기,중국,34630,96718,63938,73885,53388,30982,78385,41864,82909
밀폐용기,칠레,0,0,1,0,0,18979,0,15300,0
밀폐용기,캐나다,0,0,0,0,0,0,0,0,0
밀폐용기,태국,31372,14393,63941,104431,151816,96264,86862,34796,206884
밀폐용기,포르투갈,0,0,0,25,223,0,0,543,0
밀폐용기,프랑스,0,1149,0,0,0,0,0,0,1
밀폐용기,필리핀,0,0,0,0,0,0,1705,0,0
신선냉장,일본,3368,1992,91984,127387,18024,99032,11784,32240,2488
신선냉장,태국,0,4,0,0,0,0,0,0,0
염장·염수장,네덜란드,0,0,0,0,0,0,0,0,1377
염장·염수장,몽골,0,0,0,0,0,0,0,0,7
염장·염수장,베트남,2,0,0,0,0,0,0,7,11
염장·염수장,인도네시아,0,0,0,0,0,0,0,0,274
염장·염수장,일본,0,0,0,5,0,0,0,0,0
염장·염수장,태국,0,0,0,0,0,5,0,31,1962
