구분,국가,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년
기타조제(밀폐용기 이외),과테말라,0,0,0,0,0,0,16284,0,0
기타조제(밀폐용기 이외),괌,104,164,179,0,10,0,0,0,5
기타조제(밀폐용기 이외),네팔,0,0,0,0,0,0,0,1893,0
기타조제(밀폐용기 이외),니카라과,0,0,0,0,0,0,0,5,0
기타조제(밀폐용기 이외),대만,0,0,798,0,1834,4201,286,96,497
기타조제(밀폐용기 이외),라오스,3310,508,886,0,0,0,0,0,10
기타조제(밀폐용기 이외),러시아,0,0,0,0,0,0,4,0,0
기타조제(밀폐용기 이외),말레이시아,0,18,149,11,5174,1535,175,71,0
기타조제(밀폐용기 이외),몽골,0,20,851,0,0,43,246,48,0
기타조제(밀폐용기 이외),미국,0,800,6970,1226,604,17721,6316,15671,12120
기타조제(밀폐용기 이외),베트남,3714,3915,4749,3224,4799,3614,2081,2573,1840
기타조제(밀폐용기 이외),싱가포르,82,382,65,450,330,1001,905,1117,613
기타조제(밀폐용기 이외),아랍에미리트,1096,0,0,0,0,589,259,227,969
기타조제(밀폐용기 이외),인도,0,0,0,0,576,192,0,0,0
기타조제(밀폐용기 이외),일본,0,4,0,0,0,0,0,6,3
기타조제(밀폐용기 이외),중국,450,2530,1142,1114,780,0,0,0,0
기타조제(밀폐용기 이외),카자흐스탄,0,0,500,0,0,0,0,6,0
기타조제(밀폐용기 이외),카타르,0,0,0,0,0,0,0,96,180
기타조제(밀폐용기 이외),캄보디아,0,10,0,0,0,112,0,0,26
기타조제(밀폐용기 이외),캐나다,0,0,0,0,96,1572,0,0,0
기타조제(밀폐용기 이외),쿠웨이트,0,0,0,0,0,1302,0,0,0
기타조제(밀폐용기 이외),태국,0,0,0,0,0,941,0,0,0
기타조제(밀폐용기 이외),파라과이,0,0,0,0,0,4894,0,0,0
기타조제(밀폐용기 이외),필리핀,1300,0,0,192,0,236,413,6,1198
기타조제(밀폐용기 이외),호주,0,0,0,280,1524,415,1472,638,990
기타조제(밀폐용기 이외),홍콩,0,0,6,16,0,168,23,1,0
냉동,가나,1773080,3895380,1433320,11635840,4755078,4550495,6581720,25141650,23429240
냉동,가봉,0,0,0,54000,80000,0,0,0,140200
냉동,과테말라,0,0,0,0,0,0,360,11751,1436
냉동,괌,2876,16757,5376,900,6400,500,8383,10969,626
냉동,그루지야,0,0,0,0,116459,0,0,0,27000
냉동,기니,70600,21268,0,0,0,0,54000,0,54000
냉동,기니비사우,840,0,0,0,0,0,0,0,0
냉동,기타,124770,318900,0,324170,248650,611150,36680,0,102250
냉동,나미비아,0,0,0,0,0,0,0,52000,0
냉동,나이지리아,162000,1204500,2377650,16305635,18031300,4097300,8021213,22814363,18486604
냉동,남아프리카공화국,0,0,59,265000,0,0,42000,0,127740
냉동,네덜란드,0,0,0,0,0,0,60,0,0
냉동,뉴질랜드,253,0,0,0,151,150,0,981,919
냉동,대만,2489910,738842,1074739,3646712,1167974,3105321,628475,1134610,744700
냉동,독일,689,630,0,0,0,0,0,0,0
냉동,동티모르,12000,0,0,0,0,0,0,0,0
냉동,라오스,0,0,0,1023,898,1001,200,379,48
냉동,라이베리아,74780,79240,0,30000,0,52000,108000,0,23313
냉동,러시아,8200,177020,0,929550,192856,0,0,0,3956817
냉동,레바논,0,25220,69000,0,0,27000,0,13500,0
냉동,르완다,27000,0,0,416000,246990,1841929,2628990,754750,1917618
냉동,리비아,27000,0,0,0,0,0,0,0,0
냉동,리투아니아,0,0,0,27000,0,0,0,0,27000
냉동,마카오,0,0,40,7,20,0,0,0,0
냉동,말레이시아,163,862,35312,16278,135524,351205,202351,843476,666153
냉동,멕시코,160750,0,0,0,0,0,2625,450,1900
냉동,모로코,0,0,0,0,0,0,0,443040,110760
냉동,모리셔스,72557,50000,105950,151700,132500,135000,0,0,52500
냉동,모리타니,0,0,11880,280500,0,0,0,0,0
냉동,모잠비크,1138580,603460,273000,331500,321620,243800,524810,299500,146400
냉동,몰타,0,0,0,0,0,0,0,22910,4308333
냉동,몽골,5629,143,2148,0,883,408,0,666,1354
