년도,월,갈치,참조기
2008,1,"1,709",285
2008,2,819,23
2008,3,"1,027",4
2008,4,"1,740",0
2008,5,"1,540",1
2008,6,914,0
2008,7,"2,469",1
2008,8,"1,379",36
2008,9,"1,896",289
2008,10,"7,843",702
2008,11,"3,302",476
2008,12,"2,083",246
2009,1,"1,516",393
2009,2,"1,451",47
2009,3,"1,230",46
2009,4,"1,355",10
2009,5,"2,667",0
2009,6,"1,822",7
2009,7,"1,344",6
2009,8,"5,514",87
2009,9,"7,016",352
2009,10,"6,240",299
2009,11,"9,067",335
2009,12,"11,967",214
2010,1,"8,124",47
2010,2,"5,226",33
2010,3,"2,165",9
2010,4,451,0
2010,5,173,1
2010,6,282,0
2010,7,"1,441",0
2010,8,"3,379",5
2010,9,"1,347",11
2010,10,"1,959",169
2010,11,"2,079",159
2010,12,"2,008",97
2011,1,"1,058",87
2011,2,619,98
2011,3,"1,531",113
2011,4,662,0
2011,5,198,0
2011,6,216,2
2011,7,316,6
2011,8,"1,135",1
2011,9,"1,329",709
2011,10,"1,074",1
2011,11,660,0
2011,12,596,2
2012,1,417,2
2012,2,474,0
2012,3,"1,362",41
2012,4,160,0
2012,5,237,1
2012,6,685,1
2012,7,533,1
2012,8,462,0
2012,9,"1,283",2
2012,10,"1,525",1
2012,11,"1,133",0
2012,12,686,0
2013,1,434,0
2013,2,316,0
2013,3,276,0
2013,4,151,0
2013,5,132,0
2013,6,185,0
2013,7,811,0
2013,8,"2,287",0
2013,9,"3,334",0
2013,10,"3,372",0
2013,11,"2,939",11
2013,12,"2,852",2
2014,1,"2,805",3
2014,2,"1,436",1
2014,3,"2,740",1
2014,4,"2,894",6
2014,5,908,3
2014,6,280,0
2014,7,551,1
2014,8,"1,231",52
2014,9,"1,691",50
2014,10,"1,789",86
2014,11,"2,065",291
2014,12,"1,358",109
2015,1,563,8
2015,2,487,0
2015,3,396,0
2015,4,748,1
2015,5,61,1
2015,6,173,0
2015,7,788,4
2015,8,"5,795",5
2015,9,"2,076",57
2015,10,"2,215",115
2015,11,"1,807",115
2015,12,"1,604",111
2016,1,"1,617",68
2016,2,"1,967",9
2016,3,"1,713",15
2016,4,225,2
2016,5,211,1
2016,6,639,5
2016,7,244,4
2016,8,441,6
2016,9,"1,171",31
2016,10,"1,195",94
2016,11,971,136
2016,12,"1,534",82
2017,1,901,21
2017,2,629,0
2017,3,"1,264",1
2017,4,"1,912",4
2017,5,838,1
2017,6,"2,128",3
2017,7,862,8
2017,8,"2,075",12
2017,9,"2,295",68
2017,10,"1,439",117
2017,11,"3,634",172
2017,12,"1,726",90
2018,1,"1,210",31
2018,2,"1,014",1
2018,3,"2,354",1
2018,4,772,3
2018,5,75,3
2018,6,360,5
2018,7,589,5
2018,8,569,5
2018,9,"1,089",25
2018,10,"1,204",198
2018,11,"1,346",196
2018,12,"2,227",127
2019,1,"1,180",10
2019,2,238,0
2019,3,771,1
2019,4,234,1
2019,5,34,1
2019,6,100,6
2019,7,116,4
2019,8,411,9
2019,9,864,51
2019,10,"1,498",721
2019,11,"2,683",373
2019,12,"1,782",292
2020,1,"1,800",37
2020,2,"2,712",3
2020,3,"1,186",1
2020,4,568,1
2020,5,417,7
2020,6,789,5
2020,7,479,5
2020,8,780,22
2020,9,"1,087",116
2020,10,"1,910",249
2020,11,"4,143",709
2020,12,"2,997",342
2021,1,"1,570",19
2021,2,"2,506",9
2021,3,"1,881",3
2021,4,713,18
2021,5,133,7
2021,6,440,7
2021,7,500,2
2021,8,845,28
2021,9,"1,059",94
2021,10,"1,860",233
2021,11,"2,866",632
2021,12,"1,690",309
2022,1,"2,070",17
2022,2,"1,055",3
2022,3,"1,709",4
2022,4,"1,327",0
2022,5,178,5
2022,6,400,3
2022,7,466,5
2022,8,682,28
2022,9,409,10
2022,10,987,239
2022,11,"2,495",612
2022,12,"1,178",51
2023,1,"2,792",7
2023,2,"3,229",1
2023,3,"2,584",0
2023,4,"1,459",1
2023,5,183,3
2023,6,289,2
2023,7,471,1
2023,8,867,19
2023,9,667,61
2023,10,"1,189",119
2023,11,"2,109",154
2023,12,"1,621",357
2024,1,"1,542",47
2024,2,745,10
