date,수온(30m),염분(30m),용존산소(30m),수온(50m),염분(50m),용존산소(50m),생산량
2008-01-01,15.75,33.65,5.52,15,33.61,5.075,7994
2008-02-01,14.8,34.01,5.82,14.4,33.99,5.42,1430
2008-03-01,14.3,33.985,5.74,13.3,33.95,5.46,3001
2008-04-01,13.8,33.96,5.65,12.2,33.91,5.5,1385
2008-05-01,14.35,34.07,5.24,13.15,34.105,4.935,582
2008-06-01,14.9,34.18,4.82,14.1,34.3,4.37,1411
2008-07-01,15.1,33.94,5.13,14.3,34.36,4.335,3946
2008-08-01,15.3,33.7,5.44,14.5,34.42,4.3,7535
2008-09-01,20.35,33.565,5.11,17.25,34.19,4.095,16973
2008-10-01,25.4,33.43,4.78,20,33.96,3.89,31101
2008-11-01,20.5,33.49,5.16,18,33.925,4.275,45684
2008-12-01,15.6,33.55,5.53,16,33.89,4.66,31576
2009-01-01,14.8,33.945,5.62,14.9,34.1,5.255,12630
2009-02-01,14,34.34,5.71,13.8,34.31,5.85,15361
2009-03-01,14,34.315,5.95,13.7,34.275,5.74,8294
2009-04-01,14,34.29,6.18,13.6,34.24,5.63,1612
2009-05-01,15.75,34.11,5.79,13.8,34,5.455,7149
2009-06-01,17.5,33.93,5.39,14,33.76,5.28,6633
2009-07-01,21.2,32.92,5,13.95,33.545,5.105,3861
2009-08-01,24.9,31.91,4.6,13.9,33.33,4.93,11874
2009-09-01,23.7,32.615,4.67,14.8,33.21,4.405,15388
2009-10-01,22.5,33.32,4.73,15.7,33.09,3.88,6831
2009-11-01,20.1,33.535,4.97,16.8,33.465,4.53,8362
2009-12-01,17.7,33.75,5.2,17.9,33.84,5.18,5502
2010-01-01,16.15,34.095,5.47,16.25,34.14,5.415,5076
2010-02-01,14.6,34.44,5.74,14.6,34.44,5.65,2860
2010-03-01,14,34.4,6.16,13.75,34.395,5.925,1403
2010-04-01,13.4,34.36,6.58,12.9,34.35,6.2,463
2010-05-01,14.65,34.15,5.77,14.2,34.32,5.26325,433
2010-06-01,15.9,33.94,4.96,15.5,34.29,4.3265,1584
2010-07-01,16,33.5,5.16,15.4,34.31,4.3252,2447
2010-08-01,16.1,33.06,5.35,15.3,34.33,4.3239,3682
2010-09-01,17.25,33.08,4.59,16.2,34.06,4.0218,13454
2010-10-01,18.4,33.1,3.83,17.1,33.79,3.7197,33700
2010-11-01,17.2,33.595,4.44,16.55,33.955,4.1855,11969
2010-12-01,16,34.09,5.04,16,34.12,4.6513,6795
2011-01-01,14.5,34.33,5.58,14.15,34.315,5.47655,6490
2011-02-01,13,34.57,6.12,12.3,34.51,6.3018,5867
2011-03-01,13.65,34.525,6.24,13,34.47,6.3318,5096
2011-04-01,14.3,34.48,6.36,13.7,34.43,6.3618,3365
2011-05-01,15.8,34.385,6.2,13.7,34.125,6.1314,835
2011-06-01,17.3,34.29,6.05,13.7,33.82,5.901,1586
2011-07-01,18.85,33.62,5.4,14,34.035,5.45415,2296
2011-08-01,20.4,32.95,4.75,14.3,34.25,5.0073,8948
2011-09-01,20.55,33.225,4.9,15,34.025,4.13215,16585
2011-10-01,20.7,33.5,5.04,15.7,33.8,3.257,36678
2011-11-01,18.8,33.88,5.04,16.15,34.015,4.02165,11159
2011-12-01,16.9,34.26,5.04,16.6,34.23,4.7863,19037
2012-01-01,15.55,34.415,5.33,15.35,34.385,5.20745,23660
2012-02-01,14.2,34.57,5.63,14.1,34.54,5.6286,4977
2012-03-01,14.9,34.545,5.5,14.3,34.505,5.5286,3470
2012-04-01,15.6,34.52,5.37,14.5,34.47,5.4286,490
2012-05-01,16.1,34.205,5.57,14.75,34.355,4.9143,1778
2012-06-01,16.6,33.89,5.77,15,34.24,4.4,2661
2012-07-01,19.35,33.26,5.56,16,33.99,4.34285,7426
2012-08-01,22.1,32.63,5.34,17,33.74,4.2857,8269
2012-09-01,22.25,32.955,5.09,20.1,33.78,4.42855,8885
2012-10-01,22.4,33.28,4.83,23.2,33.82,4.5714,13656
2012-11-01,19,33.69,5.03,19.15,33.915,4.8714,12555
2012-12-01,15.6,34.1,5.23,15.1,34.01,5.1714,24907
2013-01-01,14.85,34.205,5.4,14.25,34.11,5.3857,16905
2013-02-01,14.1,34.31,5.57,13.4,34.21,5.6,1338
2013-03-01,15,34.455,5.63,14.6,34.4,5.64285,1836
2013-04-01,15.9,34.6,5.69,15.8,34.59,5.6857,912
2013-05-01,15.9,34.135,5.96,15.15,34.225,5.3714,182
2013-06-01,15.9,33.67,6.23,14.5,33.86,5.0571,1720
2013-07-01,16.55,33.425,5.56,15,33.875,4.2714,4102
2013-08-01,17.2,33.18,4.89,15.5,33.89,3.4857,9240
2013-09-01,20.2,33.43,4.74,19.3,33.78,4.0857,13600
2013-10-01,23.2,33.68,4.6,23.1,33.67,4.6857,6522
2013-11-01,20.5,34.06,5.01,20.45,34.055,4.92855,12610
2013-12-01,17.8,34.44,5.43,17.8,34.44,5.1714,21006
2014-01-01,15.85,34.475,5.59,15.85,34.475,5.41425,5663
2014-02-01,13.9,34.51,5.74,13.9,34.51,5.6571,3565
2014-03-01,14.1,34.475,6.07,13.9,34.465,5.5071,2620
2014-04-01,14.3,34.44,6.4,13.9,34.42,5.3571,1525
2014-05-01,16.35,34.2,6.06,14.7,34.32,5.2071,412
2014-06-01,18.4,33.96,5.71,15.5,34.22,5.0571,826
