date	수온	염분	용존산소	기압	평균 풍속(m/s)	평균 상대습도(%)	평균 기온(°C)	생산량
2008-01-01	15.65	34.47	5.4344	1020				7994
2008-02-01	13.5	34.61	6.0412	1017				1430
2008-03-01	14.35	34.58	5.8965	1022				3001
2008-04-01	15.2	34.55	5.7518	1027				1385
2008-05-01	17.5	34.325	5.5031	1016				582
2008-06-01	19.8	34.1	5.2544	1005				1411
2008-07-01	17.8	34.045	4.37435	1004.5				3946
2008-08-01	15.8	33.99	3.4943	1004				7535
2008-09-01	19.85	33.665	4.61575	1014.25				16973
2008-10-01	23.9	33.34	5.7372	1024.5				31101
2008-11-01	21	33.67	5.8912	1024.25				45684
2008-12-01	18.1	34	6.0452	1024				31576
2009-01-01	17.1	34.15	5.8452	1026				12630
2009-02-01	16.1	34.3	5.6009	1028				15361
2009-03-01	15.1	34.44	5.3788	1030				8294
2009-04-01	15	34.33	5.7562	1020				1612
2009-05-01	15.95	34.17	5.54035	1023				7149
2009-06-01	16.9	34.01	5.3245	1026				6633
2009-07-01	20.3	33.57	5.04995	1022.5				3861
2009-08-01	23.7	33.13	4.7754	1019				11874
2009-09-01	22.4	33.255	4.9449	1021.5				15388
2009-10-01	21.1	33.38	5.1144	1024				6831
2009-11-01	19	33.795	5.1372375	1026.5				8362
2009-12-01	16.9	34.21	5.160075	1029				5502
2010-01-01	15.9	34.29	5.1829125	1026				5076
2010-02-01	14.9	34.37	5.20575	1022				2860
2010-03-01	13.9	34.46	5.2285875	1018				1403
2010-04-01	14.6	34.4	5.251425	1031				463
2010-05-01	16.8	34.22	5.2742625	1024				433
2010-06-01	19	34.04	5.2971	1016				1584
2010-07-01	21	33.33	5.1374	1017				2447
2010-08-01	23	32.63	4.9776	1018				3682
2010-09-01	24.9	31.93	4.8178	1019				13454
2010-10-01	24.4	33.82	4.8079	1030				33700
2010-11-01	21.2	34	5.1112	1030				11969
2010-12-01	18	34.18	5.4145	1029				6795
2011-01-01	14.9	34.36	5.7178	1028				6490
2011-02-01	13.5	34.62	5.8773	1030				5867
2011-03-01	14.1	34.59	5.8089	1025				5096
2011-04-01	14.7	34.56	5.7405	1020				3365
2011-05-01	15.4	34.26	5.6029	1017				835
2011-06-01	16.1	33.96	5.4653	1013				1586
2011-07-01	16.8	33.66	5.3277	1012				2296
2011-08-01	17.5	33.36	5.1901	1011				8948
2011-09-01	18.2	33.06	5.0525	1010				16585
2011-10-01	23.3	33.78	4.9149	1020				36678
2011-11-01	20.5	34.04	4.76985	1025				11159
2011-12-01	17.6	34.31	4.6248	1030				19037
2012-01-01	15.9	34.405	4.722666667	1030				23660
2012-02-01	14	34.5	4.820533333	1030				4977
2012-03-01	14.3	34.48	4.9184	1024				3470
2012-04-01	14.6	34.46	5.016266667	1018				490
2012-05-01	16.9	34.34	5.114133333	1015				1778
2012-06-01	19.1	34.22	5.212	1013				2661
2012-07-01	21.4	33.66	4.9834	1016				7426
2012-08-01	23.7	33.11	4.7549	1019				8269
2012-09-01	26	32.56	4.5264	1021				8885
2012-10-01	22.5	33.49	4.6894	1023				13656
2012-11-01	19.7	33.84	4.78515	1026				12555
2012-12-01	16.8	34.19	4.8809	1028				24907
2013-01-01	15.3	34.24	5.20045	1026				16905
2013-02-01	13.7	34.29	5.52	1024				1338
2013-03-01	14.3	34.345	5.505	1023.5				1836
2013-04-01	14.8	34.4	5.49	1023				912
2013-05-01	15.4	34.015	5.43	1021.5				182
2013-06-01	17	33.63	5.37	1020				1720
2013-07-01	18.3	33.66	5.308333333	1022				4102
2013-08-01	19.6	33.69	5.246666667	1025				9240
2013-09-01	21	33.72	5.185	1027				13600
2013-10-01	22.1	33.75	5.123333333	1029				6522
2013-11-01	19.6	34.08	5.061666667	1029.5				12610
2013-12-01	17.1	34.41	5	1030				21006
2014-01-01	15.6	34.46	5.295	1031.5				5663
2014-02-01	14	34.51	5.59	1033				3565
2014-03-01	14.5	34.51	5.64	1027.5				2620
2014-04-01	14.9	34.51	5.69	1022				1525
2014-05-01	17.3	34.38	5.505	1017				412
2014-06-01	19.7	34.25	5.32	1012				826
2014-07-01	20.6	33.73	4.905	1015				4155
2014-08-01	21.5	33.22	4.49	1017				14437
2014-09-01	21.9	33.52	4.685	1021				11595
2014-10-01	22.3	33.82	4.88	1025				10309
2014-11-01	18.9	33.97	5.05	1024				26189
2014-12-01	15.4	34.12	5.22	1023				28457
2015-01-01	14.1	34.25	5.65	1024				13198
2015-02-01	12.7	34.38	6.08	1025				6464
2015-03-01	13.5	34.4	5.9825	1022				12532
2015-04-01	14.2	34.42	5.885	1018				9890
2015-05-01	15.5	34.29	5.7875	1017				15
2015-06-01	16.8	34.15	5.69	1016				3245
2015-07-01	19.4	33.48	5.475	1014.5				5568
2015-08-01	22	32.81	5.26	1013				12866
2015-09-01	21.5	32.92	5.29	1019				10058
2015-10-01	21.1	33.03	5.33	1025				12177
2015-11-01	20.6	33.14	5.36	1031	6.533333333	71.05555556	16.53888889	12694
2015-12-01	17.4	34.07	5.32	1038	5.95	52.7	8.91	13593
