date,생산량,가격 (원),갈치,참조기
2008-01-01,7994 ,2373 ,1709 ,285 
2008-02-01,1430 ,2413 ,819 ,23 
2008-03-01,3001 ,2436 ,1027 ,4 
2008-04-01,1385 ,2510 ,1740 ,0 
2008-05-01,582 ,2511 ,1540 ,1 
2008-06-01,1411 ,2655 ,914 ,0 
2008-07-01,3946 ,2871 ,2469 ,1 
2008-08-01,7535 ,2960 ,1379 ,36 
2008-09-01,16973 ,3030 ,1896 ,289 
2008-10-01,31101 ,2652 ,7843 ,702 
2008-11-01,45684 ,2765 ,3302 ,476 
2008-12-01,31576 ,3084 ,2083 ,246 
2009-01-01,12630 ,3474 ,1516 ,393 
2009-02-01,15361 ,4018 ,1451 ,47 
2009-03-01,8294 ,4065 ,1230 ,46 
2009-04-01,1612 ,3845 ,1355 ,10 
2009-05-01,7149 ,4000 ,2667 ,0 
2009-06-01,6633 ,3198 ,1822 ,7 
2009-07-01,3861 ,2809 ,1344 ,6 
2009-08-01,11874 ,2853 ,5514 ,87 
2009-09-01,15388 ,2813 ,7016 ,352 
2009-10-01,6831 ,2686 ,6240 ,299 
2009-11-01,8362 ,2536 ,9067 ,335 
2009-12-01,5502 ,2581 ,11967 ,214 
2010-01-01,5076 ,2826 ,8124 ,47 
2010-02-01,2860 ,3010 ,5226 ,33 
2010-03-01,1403 ,3124 ,2165 ,9 
2010-04-01,463 ,3365 ,451 ,0 
2010-05-01,433 ,3915 ,173 ,1 
2010-06-01,1584 ,3606 ,282 ,0 
2010-07-01,2447 ,3414 ,1441 ,0 
2010-08-01,3682 ,3393 ,3379 ,5 
2010-09-01,13454 ,3799 ,1347 ,11 
2010-10-01,33700 ,3247 ,1959 ,169 
2010-11-01,11969 ,3614 ,2079 ,159 
2010-12-01,6795 ,3917 ,2008 ,97 
2011-01-01,6490 ,4288 ,1058 ,87 
2011-02-01,5867 ,4181 ,619 ,98 
2011-03-01,5096 ,3815 ,1531 ,113 
2011-04-01,3365 ,3790 ,662 ,0 
2011-05-01,835 ,3809 ,198 ,0 
2011-06-01,1586 ,3626 ,216 ,2 
2011-07-01,2296 ,4195 ,316 ,6 
2011-08-01,8948 ,3715 ,1135 ,1 
2011-09-01,16585 ,3846 ,1329 ,709 
2011-10-01,36678 ,3677 ,1074 ,1 
2011-11-01,11159 ,3733 ,660 ,0 
2011-12-01,19037 ,3919 ,596 ,2 
2012-01-01,23660 ,3880 ,417 ,2 
2012-02-01,4977 ,3331 ,474 ,0 
2012-03-01,3470 ,3731 ,1362 ,41 
2012-04-01,490 ,3932 ,160 ,0 
2012-05-01,1778 ,3708 ,237 ,1 
2012-06-01,2661 ,3334 ,685 ,1 
2012-07-01,7426 ,3386 ,533 ,1 
2012-08-01,8269 ,2968 ,462 ,0 
2012-09-01,8885 ,3038 ,1283 ,2 
2012-10-01,13656 ,3026 ,1525 ,1 
2012-11-01,12555 ,3039 ,1133 ,0 
2012-12-01,24907 ,3284 ,686 ,0 
2013-01-01,16905 ,2888 ,434 ,0 
2013-02-01,1338 ,3639 ,316 ,0 
2013-03-01,1836 ,3852 ,276 ,0 
2013-04-01,912 ,4451 ,151 ,0 
2013-05-01,182 ,5475 ,132 ,0 
2013-06-01,1720 ,4386 ,185 ,0 
2013-07-01,4102 ,4026 ,811 ,0 
2013-08-01,9240 ,3564 ,2287 ,0 
2013-09-01,13600 ,3344 ,3334 ,0 
2013-10-01,6522 ,3279 ,3372 ,0 
2013-11-01,12610 ,3230 ,2939 ,11 
2013-12-01,21006 ,3225 ,2852 ,2 
2014-01-01,5663 ,3422 ,2805 ,3 
2014-02-01,3565 ,4073 ,1436 ,1 
2014-03-01,2620 ,3891 ,2740 ,1 
2014-04-01,1525 ,4259 ,2894 ,6 
2014-05-01,412 ,3512 ,908 ,3 
2014-06-01,826 ,4046 ,280 ,0 
2014-07-01,4155 ,3931 ,551 ,1 
2014-08-01,14437 ,3534 ,1231 ,52 
2014-09-01,11595 ,3141 ,1691 ,50 
2014-10-01,10309 ,3703 ,1789 ,86 
2014-11-01,26189 ,3969 ,2065 ,291 
2014-12-01,28457 ,4105 ,1358 ,109 
2015-01-01,13198 ,4408 ,563 ,8 
2015-02-01,6464 ,5185 ,487 ,0 
2015-03-01,12532 ,4422 ,396 ,0 
2015-04-01,9890 ,4469 ,748 ,1 
2015-05-01,15 ,4631 ,61 ,1 
2015-06-01,3245 ,4216 ,173 ,0 
2015-07-01,5568 ,3366 ,788 ,4 
2015-08-01,12866 ,2689 ,5795 ,5 
2015-09-01,10058 ,3047 ,2076 ,57 
2015-10-01,12177 ,2868 ,2215 ,115 
2015-11-01,12694 ,2784 ,1807 ,115 
2015-12-01,13593 ,3162 ,1604 ,111 
2016-01-01,14466 ,3140 ,1617 ,68 
2016-02-01,2065 ,2972 ,1967 ,9 
2016-03-01,3105 ,3199 ,1713 ,15 
2016-04-01,4885 ,3610 ,225 ,2 
2016-05-01,1352 ,3744 ,211 ,1 
2016-06-01,1761 ,2865 ,639 ,5 
2016-07-01,4400 ,2818 ,244 ,4 
2016-08-01,10432 ,2605 ,441 ,6 
2016-09-01,15717 ,2758 ,1171 ,31 
2016-10-01,15793 ,2863 ,1195 ,94 
2016-11-01,25634 ,2795 ,971 ,136 
2016-12-01,14473 ,2940 ,1534 ,82 
2017-01-01,8352 ,2922 ,901 ,21 
2017-02-01,2358 ,2792 ,629 ,0 
2017-03-01,1553 ,3019 ,1264 ,1 
2017-04-01,175 ,3000 ,1912 ,4 
2017-05-01,540 ,3130 ,838 ,1 
2017-06-01,1762 ,2972 ,2128 ,3 
2017-07-01,5981 ,2891 ,862 ,8 
2017-08-01,11821 ,2775 ,2075 ,12 
2017-09-01,8402 ,2767 ,2295 ,68 
2017-10-01,4603 ,2961 ,1439 ,117 
2017-11-01,8152 ,2930 ,3634 ,172 
2017-12-01,30662 ,2878 ,1726 ,90 
2018-01-01,14271 ,3052 ,1210 ,31 
2018-02-01,2275 ,2967 ,1014 ,1 
2018-03-01,9874 ,3094 ,2354 ,1 
2018-04-01,2765 ,3212 ,772 ,3 
2018-05-01,2 ,3000 ,75 ,3 
2018-06-01,89 ,3000 ,360 ,5 
2018-07-01,7950 ,3193 ,589 ,5 
2018-08-01,10674 ,3000 ,569 ,5 
2018-09-01,18739 ,2696 ,1089 ,25 
2018-10-01,15213 ,2287 ,1204 ,198 
2018-11-01,18957 ,2369 ,1346 ,196 
2018-12-01,9546 ,2455 ,2227 ,127 
2019-01-01,15328 ,2530 ,1180 ,10 
2019-02-01,1687 ,2406 ,238 ,0 
2019-03-01,1604 ,2417 ,771 ,1 
2019-04-01,762 ,2023 ,234 ,1 
2019-05-01,78 ,1900 ,34 ,1 
2019-06-01,60 ,2544 ,100 ,6 
2019-07-01,1199 ,3188 ,116 ,4 
2019-08-01,4964 ,2807 ,411 ,9 
2019-09-01,4616 ,2492 ,864 ,51 
2019-10-01,6956 ,2005 ,1498 ,721 
2019-11-01,10895 ,2512 ,2683 ,373 
2019-12-01,32883 ,2833 ,1782 ,292 
2020-01-01,3475 ,3000 ,1800 ,37 
2020-02-01,8258 ,3481 ,2712 ,3 
2020-03-01,3051 ,3451 ,1186 ,1 
2020-04-01,348 ,3200 ,568 ,1 
2020-05-01,141 ,3350 ,417 ,7 
2020-06-01,198 ,3500 ,789 ,5 
2020-07-01,5481 ,3650 ,479 ,5 
2020-08-01,4492 ,2971 ,780 ,22 
2020-09-01,6553 ,3346 ,1087 ,116 
2020-10-01,8015 ,3481 ,1910 ,249 
2020-11-01,13032 ,3548 ,4143 ,709 
2020-12-01,10044 ,3083 ,2997 ,342 
2021-01-01,10747 ,3379 ,1570 ,19 
2021-02-01,6008 ,3360 ,2506 ,9 
2021-03-01,4216 ,3565 ,1881 ,3 
2021-04-01,2361 ,2755 ,713 ,18 
2021-05-01,89 ,4700 ,133 ,7 
2021-06-01,171 ,4205 ,440 ,7 
2021-07-01,2584 ,3025 ,500 ,2 
2021-08-01,5806 ,3008 ,845 ,28 
2021-09-01,13591 ,3504 ,1059 ,94 
2021-10-01,11448 ,3310 ,1860 ,233 
2021-11-01,16245 ,3422 ,2866 ,632 
2021-12-01,26718 ,3437 ,1690 ,309 
2022-01-01,13448 ,3579 ,2070 ,17 
2022-02-01,2162 ,3847 ,1055 ,3 
2022-03-01,3340 ,3695 ,1709 ,4 
2022-04-01,151 ,4646 ,1327 ,0 
2022-05-01,232 ,5597 ,178 ,5 
2022-06-01,585 ,4638 ,400 ,3 
2022-07-01,2507 ,3936 ,466 ,5 
2022-08-01,3900 ,3543 ,682 ,28 
2022-09-01,5494 ,2733 ,409 ,10 
2022-10-01,5339 ,2875 ,987 ,239 
2022-11-01,24533 ,2989 ,2495 ,612 
2022-12-01,16592 ,3103 ,1178 ,51 
2023-01-01,18716 ,3217 ,2792 ,7 
2023-02-01,1465 ,3331 ,3229 ,1 
2023-03-01,8957 ,3445 ,2584 ,0 
2023-04-01,6780 ,3528 ,1459 ,1 
2023-05-01,937 ,3610 ,183 ,3 
2023-06-01,1590 ,2591 ,289 ,2 
2023-07-01,9584 ,2365 ,471 ,1 
2023-08-01,5698 ,2932 ,867 ,19 
2023-09-01,9903 ,2875 ,667 ,61 
2023-10-01,9163 ,2489 ,1189 ,119 
2023-11-01,11462 ,2649 ,2109 ,154 
2023-12-01,6898 ,3198 ,1621 ,357 
