date,생산량,가격 (원)
2013-12-01,21006,3225
2014-01-01,5663,3422
2014-02-01,3565,4073
2014-03-01,2620,3891
2014-04-01,1525,4259
2014-05-01,412,3512
2014-06-01,826,4046
2014-07-01,4155,3931
2014-08-01,14437,3534
2014-09-01,11595,3141
2014-10-01,10309,3703
2014-11-01,26189,3969
2014-12-01,28457,4105
2015-01-01,13198,4408
2015-02-01,6464,5185
2015-03-01,12532,4422
2015-04-01,9890,4469
2015-05-01,15,4631
2015-06-01,3245,4216
2015-07-01,5568,3366
2015-08-01,12866,2689
2015-09-01,10058,3047
2015-10-01,12177,2868
2015-11-01,12694,2784
2015-12-01,13593,3162
2016-01-01,14466,3140
2016-02-01,2065,2972
2016-03-01,3105,3199
2016-04-01,4885,3610
2016-05-01,1352,3744
2016-06-01,1761,2865
2016-07-01,4400,2818
2016-08-01,10432,2605
2016-09-01,15717,2758
2016-10-01,15793,2863
2016-11-01,25634,2795
2016-12-01,14473,2940
2017-01-01,8352,2922
2017-02-01,2358,2792
2017-03-01,1553,3019
2017-04-01,175,3000
2017-05-01,540,3130
2017-06-01,1762,2972
2017-07-01,5981,2891
2017-08-01,11821,2775
2017-09-01,8402,2767
2017-10-01,4603,2961
2017-11-01,8152,2930
2017-12-01,30662,2878
2018-01-01,14271,3052
2018-02-01,2275,2967
2018-03-01,9874,3094
2018-04-01,2765,3212
2018-05-01,2,3000
2018-06-01,89,3000
2018-07-01,7950,3193
2018-08-01,10674,3000
2018-09-01,18739,2696
2018-10-01,15213,2287
2018-11-01,18957,2369
2018-12-01,9546,2455
2019-01-01,15328,2530
2019-02-01,1687,2406
2019-03-01,1604,2417
2019-04-01,762,2023
2019-05-01,78,1900
2019-06-01,60,2544
2019-07-01,1199,3188
2019-08-01,4964,2807
2019-09-01,4616,2492
2019-10-01,6956,2005
2019-11-01,10895,2512
2019-12-01,32883,2833
2020-01-01,3475,3000
2020-02-01,8258,3481
2020-03-01,3051,3451
2020-04-01,348,3200
2020-05-01,141,3350
2020-06-01,198,3500
2020-07-01,5481,3650
2020-08-01,4492,2971
2020-09-01,6553,3346
2020-10-01,8015,3481
2020-11-01,13032,3548
2020-12-01,10044,3083
2021-01-01,10747,3379
2021-02-01,6008,3360
2021-03-01,4216,3565
2021-04-01,2361,2755
2021-05-01,89,4700
2021-06-01,171,4205
2021-07-01,2584,3025
2021-08-01,5806,3008
2021-09-01,13591,3504
2021-10-01,11448,3310
2021-11-01,16245,3422
2021-12-01,26718,3437
2022-01-01,13448,3579
2022-02-01,2162,3847
2022-03-01,3340,3695
2022-04-01,151,4646
2022-05-01,232,5597
2022-06-01,585,4638
2022-07-01,2507,3936
2022-08-01,3900,3543
2022-09-01,5494,2733
2022-10-01,5339,2875
2022-11-01,24533,2989
2022-12-01,16592,3103
2023-01-01,18716,3217
2023-02-01,1465,3331
2023-03-01,8957,3445
2023-04-01,6780,3527.5
2023-05-01,937,3610
2023-06-01,1590,2591
2023-07-01,9584,2365
2023-08-01,5698,2932
2023-09-01,9903,2875
2023-10-01,9163,2489
2023-11-01,11462,2649
2023-12-01,6898,3198
