date,수온,생산량,가격 (원)
2008-01-01,15.75,7994,2373.0
2008-02-01,14.8,1430,2413.0
2008-03-01,14.3,3001,2436.0
2008-04-01,13.8,1385,2510.0
2008-05-01,14.35,582,2511.0
2008-06-01,14.9,1411,2655.0
2008-07-01,15.1,3946,2871.0
2008-08-01,15.3,7535,2960.0
2008-09-01,20.35,16973,3030.0
2008-10-01,25.4,31101,2652.0
2008-11-01,20.5,45684,2765.0
2008-12-01,15.6,31576,3084.0
2009-01-01,14.8,12630,3474.0
2009-02-01,14.0,15361,4018.0
2009-03-01,14.0,8294,4065.0
2009-04-01,14.0,1612,3845.0
2009-05-01,15.75,7149,4000.0
2009-06-01,17.5,6633,3198.0
2009-07-01,21.2,3861,2809.0
2009-08-01,24.9,11874,2853.0
2009-09-01,23.7,15388,2813.0
2009-10-01,22.5,6831,2686.0
2009-11-01,20.1,8362,2536.0
2009-12-01,17.7,5502,2581.0
2010-01-01,16.15,5076,2826.0
2010-02-01,14.6,2860,3010.0
2010-03-01,14.0,1403,3124.0
2010-04-01,13.4,463,3365.0
2010-05-01,14.65,433,3915.0
2010-06-01,15.9,1584,3606.0
2010-07-01,16.0,2447,3414.0
2010-08-01,16.1,3682,3393.0
2010-09-01,17.25,13454,3799.0
2010-10-01,18.4,33700,3247.0
2010-11-01,17.2,11969,3614.0
2010-12-01,16.0,6795,3917.0
2011-01-01,14.5,6490,4288.0
2011-02-01,13.0,5867,4181.0
2011-03-01,13.65,5096,3815.0
2011-04-01,14.3,3365,3790.0
2011-05-01,15.8,835,3809.0
2011-06-01,17.3,1586,3626.0
2011-07-01,18.85,2296,4195.0
2011-08-01,20.4,8948,3715.0
2011-09-01,20.55,16585,3846.0
2011-10-01,20.7,36678,3677.0
2011-11-01,18.8,11159,3733.0
2011-12-01,16.9,19037,3919.0
2012-01-01,15.55,23660,3880.0
2012-02-01,14.2,4977,3331.0
2012-03-01,14.9,3470,3731.0
2012-04-01,15.6,490,3932.0
2012-05-01,16.1,1778,3708.0
2012-06-01,16.6,2661,3334.0
2012-07-01,19.35,7426,3386.0
2012-08-01,22.1,8269,2968.0
2012-09-01,22.25,8885,3038.0
2012-10-01,22.4,13656,3026.0
2012-11-01,19.0,12555,3039.0
2012-12-01,15.6,24907,3284.0
2013-01-01,14.85,16905,2888.0
2013-02-01,14.1,1338,3639.0
2013-03-01,15.0,1836,3852.0
2013-04-01,15.9,912,4451.0
2013-05-01,15.9,182,5475.0
2013-06-01,15.9,1720,4386.0
2013-07-01,16.55,4102,4026.0
2013-08-01,17.2,9240,3564.0
2013-09-01,20.2,13600,3344.0
2013-10-01,23.2,6522,3279.0
2013-11-01,20.5,12610,3230.0
2013-12-01,17.8,21006,3225.0
2014-01-01,15.85,5663,3422.0
2014-02-01,13.9,3565,4073.0
2014-03-01,14.1,2620,3891.0
2014-04-01,14.3,1525,4259.0
2014-05-01,16.35,412,3512.0
2014-06-01,18.4,826,4046.0
2014-07-01,20.75,4155,3931.0
2014-08-01,23.1,14437,3534.0
2014-09-01,22.85,11595,3141.0
2014-10-01,22.6,10309,3703.0
2014-11-01,19.55,26189,3969.0
2014-12-01,16.5,28457,4105.0
2015-01-01,14.75,13198,4408.0
2015-02-01,13.0,6464,5185.0
2015-03-01,13.45,12532,4422.0
2015-04-01,13.9,9890,4469.0
2015-05-01,17.1,15,4631.0
2015-06-01,20.3,3245,4216.0
2015-07-01,20.85,5568,3366.0
2015-08-01,21.4,12866,2689.0
2015-09-01,20.2,10058,3047.0
2015-10-01,19.0,12177,2868.0
2015-11-01,17.75,12694,2784.0
2015-12-01,16.5,13593,3162.0
2016-01-01,14.1,14466,3140.0
2016-02-01,11.7,2065,2972.0
2016-03-01,13.8,3105,3199.0
2016-04-01,15.9,4885,3610.0
2016-05-01,15.65,1352,3744.0
2016-06-01,15.4,1761,2865.0
2016-07-01,17.15,4400,2818.0
2016-08-01,18.9,10432,2605.0
2016-09-01,20.35,15717,2758.0
2016-10-01,21.8,15793,2863.0
2016-11-01,19.95,25634,2795.0
2016-12-01,18.1,14473,2940.0
2017-01-01,16.0,8352,2922.0
2017-02-01,13.9,2358,2792.0
2017-03-01,14.75,1553,3019.0
2017-04-01,15.6,175,3000.0
2017-05-01,16.0,540,3130.0
2017-06-01,16.4,1762,2972.0
2017-07-01,18.35,5981,2891.0
2017-08-01,20.3,11821,2775.0
2017-09-01,20.45,8402,2767.0
2017-10-01,20.6,4603,2961.0
2017-11-01,18.2,8152,2930.0
2017-12-01,15.8,30662,2878.0
2018-01-01,14.05,14271,3052.0
2018-02-01,12.3,2275,2967.0
2018-03-01,13.1,9874,3094.0
2018-04-01,13.9,2765,3212.0
2018-05-01,17.1,2,3000.0
2018-06-01,20.3,89,3000.0
2018-07-01,20.25,7950,3193.0
2018-08-01,20.2,10674,3000.0
2018-09-01,21.25,18739,2696.0
2018-10-01,22.3,15213,2287.0
2018-11-01,19.2,18957,2369.0
2018-12-01,16.1,9546,2455.0
2019-01-01,15.45,15328,2530.0
2019-02-01,14.8,1687,2406.0
2019-03-01,15.95,1604,2417.0
2019-04-01,17.1,762,2023.0
2019-05-01,16.85,78,1900.0
2019-06-01,16.6,60,2544.0
2019-07-01,17.45,1199,3188.0
2019-08-01,18.3,4964,2807.0
2019-09-01,19.85,4616,2492.0
2019-10-01,21.4,6956,2005.0
2019-11-01,20.25,10895,2512.0
2019-12-01,19.1,32883,2833.0
2020-01-01,17.15,3475,3000.0
2020-02-01,15.2,8258,3481.0
2020-03-01,14.9,3051,3451.0
2020-04-01,14.6,348,3200.0
2020-05-01,15.15,141,3350.0
2020-06-01,15.7,198,3500.0
2020-07-01,17.45,5481,3650.0
2020-08-01,19.2,4492,2971.0
2020-09-01,20.45,6553,3346.0
2020-10-01,21.7,8015,3481.0
2020-11-01,19.7,13032,3548.0
2020-12-01,17.7,10044,3083.0
2021-01-01,16.35,10747,3379.0
2021-02-01,15.0,6008,3360.0
2021-03-01,16.0,4216,3565.0
2021-04-01,17.0,2361,2755.0
2021-05-01,17.4,89,4700.0
2021-06-01,17.8,171,4205.0
2021-07-01,18.3,2584,3025.0
2021-08-01,18.8,5806,3008.0
2021-09-01,21.0,13591,3504.0
2021-10-01,23.2,11448,3310.0
2021-11-01,20.2,16245,3422.0
2021-12-01,17.2,26718,3437.0
2022-01-01,15.65,13448,3579.0
2022-02-01,14.1,2162,3847.0
2022-03-01,14.7,3340,3695.0
2022-04-01,15.3,151,4646.0
2022-05-01,16.95,232,5597.0
2022-06-01,18.6,585,4638.0
2022-07-01,19.3,2507,3936.0
2022-08-01,20.0,3900,3543.0
2022-09-01,21.35,5494,2733.0
2022-10-01,22.7,5339,2875.0
2022-11-01,19.55,24533,2989.0
2022-12-01,16.4,16592,3103.0
