년도,월,수온(30m),염분(30m),용존산소(30m),수온(50m),염분(50m),용존산소(50m)
2008,1,15.75,33.65,5.515000000000001,15.0,33.61,5.075
2008,2,14.8,34.01,5.82,14.4,33.99,5.42
2008,3,14.3,33.985,5.735,13.3,33.95,5.46
2008,4,13.8,33.96,5.65,12.2,33.91,5.5
2008,5,14.35,34.07,5.235,13.15,34.105,4.9350000000000005
2008,6,14.9,34.18,4.82,14.1,34.3,4.37
2008,7,15.1,33.94,5.130000000000001,14.3,34.36,4.335
2008,8,15.3,33.7,5.44,14.5,34.42,4.3
2008,9,20.35,33.565,5.11,17.25,34.19,4.095
2008,10,25.4,33.43,4.78,20.0,33.96,3.89
2008,11,20.5,33.489999999999995,5.155,18.0,33.925,4.275
2008,12,15.6,33.55,5.53,16.0,33.89,4.66
2009,1,14.8,33.945,5.62,14.9,34.1,5.255
2009,2,14.0,34.34,5.71,13.8,34.31,5.85
2009,3,14.0,34.315,5.945,13.7,34.275000000000006,5.74
2009,4,14.0,34.29,6.18,13.6,34.24,5.63
2009,5,15.75,34.11,5.785,13.8,34.0,5.455
2009,6,17.5,33.93,5.39,14.0,33.76,5.279999999999999
2009,7,21.2,32.92,4.994999999999999,13.95,33.545,5.105
2009,8,24.9,31.91,4.6,13.9,33.33,4.93
2009,9,23.7,32.615,4.665,14.8,33.21,4.404999999999999
2009,10,22.5,33.32,4.73,15.7,33.09,3.88
2009,11,20.1,33.535,4.965,16.799999999999997,33.465,4.529999999999999
2009,12,17.7,33.75,5.2,17.9,33.84,5.18
2010,1,16.15,34.095,5.470000000000001,16.25,34.14,5.415
2010,2,14.6,34.44,5.74,14.6,34.44,5.65
2010,3,14.0,34.4,6.16,13.75,34.395,5.925000000000001
2010,4,13.4,34.36,6.58,12.9,34.35,6.2
2010,5,14.65,34.15,5.77015,14.2,34.32,5.26325
2010,6,15.9,33.94,4.9603,15.5,34.29,4.3265
2010,7,16.0,33.5,5.15615,15.4,34.31,4.325200000000001
2010,8,16.1,33.06,5.352,15.3,34.33,4.3239
2010,9,17.25,33.08,4.5931,16.200000000000003,34.06,4.0218
2010,10,18.4,33.1,3.8342,17.1,33.79,3.7197
2010,11,17.2,33.595,4.4378,16.55,33.955,4.1855
2010,12,16.0,34.09,5.0414,16.0,34.12,4.6513
2011,1,14.5,34.33,5.5816,14.15,34.315,5.47655
2011,2,13.0,34.57,6.1218,12.3,34.51,6.3018
2011,3,13.65,34.525,6.2418,13.0,34.47,6.331799999999999
2011,4,14.3,34.48,6.3618,13.7,34.43,6.3618
2011,5,15.8,34.385,6.2049,13.7,34.125,6.131399999999999
2011,6,17.3,34.29,6.048,13.7,33.82,5.901
2011,7,18.85,33.620000000000005,5.398899999999999,14.0,34.035,5.45415
2011,8,20.4,32.95,4.7498,14.3,34.25,5.0073
2011,9,20.55,33.225,4.8955,15.0,34.025,4.13215
2011,10,20.7,33.5,5.0412,15.7,33.8,3.257
2011,11,18.8,33.879999999999995,5.0412,16.15,34.015,4.02165
2011,12,16.9,34.26,5.0412,16.6,34.23,4.7863
2012,1,15.55,34.415,5.334899999999999,15.35,34.385,5.20745
2012,2,14.2,34.57,5.6286,14.1,34.54,5.6286
2012,3,14.9,34.545,5.5,14.3,34.504999999999995,5.5286
2012,4,15.6,34.52,5.3714,14.5,34.47,5.4286
2012,5,16.1,34.205,5.571400000000001,14.75,34.355000000000004,4.914300000000001
2012,6,16.6,33.89,5.7714,15.0,34.24,4.4
2012,7,19.35,33.260000000000005,5.55715,16.0,33.99,4.34285
2012,8,22.1,32.63,5.3429,17.0,33.74,4.2857
2012,9,22.25,32.955,5.08575,20.1,33.78,4.42855
2012,10,22.4,33.28,4.8286,23.2,33.82,4.5714
2012,11,19.0,33.69,5.0286,19.15,33.915,4.8714
2012,12,15.6,34.1,5.2286,15.1,34.01,5.1714
2013,1,14.85,34.205,5.4,14.25,34.11,5.3857
2013,2,14.1,34.31,5.5714,13.4,34.21,5.6
2013,3,15.0,34.455,5.62855,14.6,34.400000000000006,5.642849999999999
2013,4,15.9,34.6,5.6857,15.8,34.59,5.6857
2013,5,15.9,34.135000000000005,5.95715,15.15,34.225,5.3714
2013,6,15.9,33.67,6.2286,14.5,33.86,5.0571
2013,7,16.55,33.425,5.55715,15.0,33.875,4.2714
2013,8,17.2,33.18,4.8857,15.5,33.89,3.4857
2013,9,20.2,33.43,4.74285,19.3,33.78,4.0857
2013,10,23.2,33.68,4.6,23.1,33.67,4.6857
2013,11,20.5,34.06,5.0143,20.450000000000003,34.055,4.92855
2013,12,17.8,34.44,5.4286,17.8,34.44,5.1714
2014,1,15.85,34.474999999999994,5.58575,15.85,34.474999999999994,5.41425
2014,2,13.9,34.51,5.7429,13.9,34.51,5.6571
2014,3,14.1,34.474999999999994,6.0714500000000005,13.9,34.465,5.507099999999999
2014,4,14.3,34.44,6.4,13.9,34.42,5.3571
2014,5,16.35,34.2,6.05715,14.7,34.32,5.2071000000000005
2014,6,18.4,33.96,5.7143,15.5,34.22,5.0571
2014,7,20.75,33.2,5.24285,16.05,33.835,4.7714
2014,8,23.1,32.44,4.7714,16.6,33.45,4.4857
2014,9,22.85,33.16,4.6857,19.4,33.675,4.3714
2014,10,22.6,33.88,4.6,22.2,33.9,4.2571
2014,11,19.55,34.105000000000004,4.7857,19.3,34.11,4.61425
2014,12,16.5,34.33,4.9714,16.4,34.32,4.9714
2015,1,14.75,34.36,5.5307,14.55,34.335,5.4007000000000005
2015,2,13.0,34.39,6.09,12.7,34.35,5.83
2015,3,13.45,34.245000000000005,5.945,13.2,34.21,5.845000000000001
2015,4,13.9,34.1,5.8,13.7,34.07,5.86
2015,5,17.1,33.885000000000005,5.77,14.3,33.879999999999995,5.4
2015,6,20.3,33.67,5.74,14.9,33.69,4.94
2015,7,20.85,32.995000000000005,5.6,15.25,33.599999999999994,4.555
2015,8,21.4,32.32,5.46,15.6,33.51,4.17
2015,9,20.2,32.075,5.23,16.0,33.584999999999994,3.77
2015,10,19.0,31.83,5.0,16.4,33.66,3.37
2015,11,17.75,32.775,5.055,16.45,33.855,3.715
2015,12,16.5,33.72,5.11,16.5,34.05,4.06
2016,1,14.1,33.96,5.5407,14.05,34.12,5.0157
2016,2,11.7,34.2,5.9714,11.6,34.19,5.9714
2016,3,13.8,34.365,5.914275,13.25,34.334999999999994,5.9857
2016,4,15.9,34.53,5.85715,14.9,34.48,6.0
2016,5,15.65,34.19,5.800025,14.95,34.355,5.42855
2016,6,15.4,33.85,5.7429,15.0,34.23,4.8571
2016,7,17.15,33.52,4.97145,15.1,34.11,4.3714
2016,8,18.9,33.19,4.2,15.2,33.99,3.8857
2016,9,20.35,32.849999999999994,4.5714500000000005,16.85,33.34,3.6714
2016,10,21.8,32.51,4.9429,18.5,32.69,3.4571
2016,11,19.950000000000003,33.39,5.0286,18.35,33.5,4.3
2016,12,18.1,34.27,5.1143,18.2,34.31,5.1429
2017,1,16.0,34.385000000000005,5.48565,16.05,34.405,5.41445
2017,2,13.9,34.5,5.857,13.9,34.5,5.686
2017,3,14.75,34.565,5.8715,14.35,34.535,5.7285
2017,4,15.6,34.63,5.886,14.8,34.57,5.771
2017,5,16.0,34.32,5.9145,15.1,34.41,5.3285
2017,6,16.4,34.01,5.943,15.4,34.25,4.886
2017,7,18.35,33.739999999999995,5.214499999999999,15.75,33.92,4.6
2017,8,20.3,33.47,4.486,16.1,33.59,4.314
2017,9,20.450000000000003,33.6875,4.7575,18.35,33.775000000000006,4.6855
2017,10,20.6,33.905,5.029,20.6,33.96,5.057
2017,11,18.200000000000003,34.1225,5.1145,18.15,34.145,5.0285
2017,12,15.8,34.34,5.2,15.7,34.33,5.0
2018,1,14.05,34.425,5.6,13.9,34.41,5.2145
2018,2,12.3,34.51,6.0,12.1,34.49,5.429
2018,3,13.1,34.455,6.195,12.9,34.435,5.8425
2018,4,13.9,34.4,6.39,13.7,34.38,6.256
2018,5,17.1,34.03,5.8665,14.5,34.285,5.4425
2018,6,20.3,33.66,5.343,15.3,34.19,4.629
2018,7,20.25,33.405,5.5,15.9,33.959999999999994,4.6715
2018,8,20.2,33.15,5.657,16.5,33.73,4.714
2018,9,21.25,33.57,5.45,19.45,33.895,4.814
2018,10,22.3,33.99,5.243,22.4,34.06,4.914
2018,11,19.200000000000003,34.015,5.036,19.3,34.2,4.314
2018,12,16.1,34.04,4.829,16.2,34.34,3.714
2019,1,15.45,34.28,5.28595,14.6,34.31,4.79985
2019,2,14.8,34.52,5.7429,13.0,34.28,5.8857
2019,3,15.95,34.55,5.807175,14.6,34.41,5.3
2019,4,17.1,34.58,5.87145,16.2,34.54,4.7143
2019,5,16.85,34.17,5.935725,15.9,34.385,4.8
2019,6,16.6,33.76,6.0,15.6,34.23,4.8857
2019,7,17.450000000000003,33.385,5.5857,15.6,34.02,4.64285
2019,8,18.3,33.01,5.1714,15.6,33.81,4.4
2019,9,19.85,33.195,5.128550000000001,18.5,33.595,3.95715
2019,10,21.4,33.38,5.0857,21.4,33.38,3.5143
2019,11,20.25,33.885000000000005,5.04285,19.8,33.83,4.35715
2019,12,19.1,34.39,5.0,18.2,34.28,5.2
2020,1,17.15,34.475,5.52855,16.7,34.42,5.77145
2020,2,15.2,34.56,6.0571,15.2,34.56,6.3429
2020,3,14.9,34.505,6.128550000000001,14.65,34.455,6.1286000000000005
2020,4,14.6,34.45,6.2,14.1,34.35,5.9143
2020,5,15.15,34.150000000000006,5.77145,14.4,34.105000000000004,5.55715
2020,6,15.7,33.85,5.3429,14.7,33.86,5.2
2020,7,17.45,33.77,4.78575,16.299999999999997,34.0,4.800000000000001
2020,8,19.2,33.69,4.2286,17.9,34.14,4.4
2020,9,20.45,33.295,4.1857500000000005,19.05,33.715,3.97145
2020,10,21.7,32.9,4.1429,20.2,33.29,3.5429
2020,11,19.7,33.53,4.45715,18.65,33.67,4.18575
2020,12,17.7,34.16,4.7714,17.1,34.05,4.8286
2021,1,16.35,34.44,5.3,15.95,34.379999999999995,5.4
2021,2,15.0,34.72,5.8286,14.8,34.71,5.9714
2021,3,16.0,34.685,5.6857500000000005,14.9,34.625,5.685700000000001
2021,4,17.0,34.65,5.5429,15.0,34.54,5.4
2021,5,17.4,34.47,5.6143,15.95,34.480000000000004,5.25715
2021,6,17.8,34.29,5.6857,16.9,34.42,5.1143
2021,7,18.3,33.480000000000004,4.74285,16.5,34.21,4.45715
2021,8,18.8,32.67,3.8,16.1,34.0,3.8
2021,9,21.0,33.235,4.22855,19.0,33.739999999999995,4.0143
2021,10,23.2,33.8,4.6571,21.9,33.48,4.2286
2021,11,20.2,33.989999999999995,4.8857,19.45,33.845,4.5714500000000005
2021,12,17.2,34.18,5.1143,17.0,34.21,4.9143
2022,1,15.65,34.31,5.45715,15.3,34.285,5.3
2022,2,14.1,34.44,5.8,13.6,34.36,5.6857
2022,3,14.7,34.39,5.814299999999999,13.6,34.15,5.757149999999999
2022,4,15.3,34.34,5.8286,13.6,33.94,5.8286
2022,5,16.950000000000003,34.14,5.757149999999999,14.7,34.02,5.4
2022,6,18.6,33.94,5.6857,15.8,34.1,4.9714
2022,7,19.3,33.379999999999995,4.82855,17.65,34.22,4.4857
2022,8,20.0,32.82,3.9714,19.5,34.34,4.0
2022,9,21.35,33.425,4.41425,20.9,34.145,4.0
2022,10,22.7,34.03,4.8571,22.3,33.95,4.0
2022,11,19.55,34.155,4.91425,19.0,34.055,4.5
2022,12,16.4,34.28,4.9714,15.7,34.16,5.0
