관측일시(KST),수온(℃),염분(psu),용존산소(ml/L),투명도(m),기압(hPa)
2008-02-18 15:13,14.8,34.01,5.82,12.0,1039.0
2008-04-01 14:50,13.8,33.96,5.65,10.0,1022.0
2008-06-12 13:20,14.9,34.18,4.82,16.0,1010.0
2008-08-06 17:30,15.3,33.7,5.44,16.0,1011.0
2008-10-09 15:50,25.4,33.43,4.78,9.0,1021.0
2008-12-07 11:25,15.6,33.55,5.53,14.0,1030.0
2009-02-05 18:05,14.0,34.34,5.71,,1020.0
2009-04-06 15:10,14.0,34.29,6.18,7.0,1010.0
2009-06-13 11:25,17.5,33.93,,17.0,1003.0
2009-08-21 17:55,24.9,31.91,4.6,16.0,1007.0
2009-10-15 11:00,22.5,33.32,4.73,19.0,1018.5
2009-12-07 12:16,17.7,33.75,5.2,19.5,1025.0
2010-02-05 18:15,14.6,34.44,5.74,,1021.0
2010-04-04 12:15,13.4,34.36,6.58,18.0,1021.0
2010-07-08 05:50,15.9,33.94,4.9603,,1015.0
2010-08-30 19:20,16.1,33.06,5.352,,1010.0
2010-10-12 12:00,18.4,33.1,3.8342,8.0,1013.0
2010-12-10 08:55,16.0,34.09,5.0414,8.5,1013.0
2011-03-05 08:16,13.0,34.57,6.1218,13.0,1018.0
2011-04-28 14:00,14.3,34.48,6.3618,9.0,1021.0
2011-06-08 16:35,17.3,34.29,6.048,13.0,1005.0
2011-08-11 18:20,20.4,32.95,4.7498,8.0,1003.0
2011-10-29 16:25,20.7,33.5,5.0412,,1024.0
2011-12-19 13:10,16.9,34.26,5.0412,14.0,1012.0
2011-03-05 08:16,13.0,34.57,6.1218,13.0,1018.0
2011-04-28 14:00,14.3,34.48,6.3618,9.0,1021.0
2011-06-08 16:35,17.3,34.29,6.048,13.0,1005.0
2011-08-11 18:20,20.4,32.95,4.7498,8.0,1003.0
2011-10-29 16:25,20.7,33.5,5.0412,,1024.0
2011-12-19 13:10,16.9,34.26,5.0412,14.0,1012.0
2012-02-19 16:45,14.2,34.57,5.6286,,1009.0
2012-04-16 19:45,15.6,34.52,5.3714,,995.0
2012-06-17 10:41,16.6,33.89,5.7714,30.0,993.0
2012-08-21 10:10,22.1,32.63,5.3429,20.0,993.0
2012-10-16 21:00,22.4,33.28,4.8286,,995.0
2012-12-26 15:45,15.6,34.1,5.2286,10.0,1006.0
2013-02-16 14:55,14.1,34.31,5.5714,20.0,1000.0
2013-04-21 21:00,15.9,34.6,5.6857,,989.0
2013-06-17 16:00,15.9,33.67,6.2286,18.0,972.0
2013-08-26 09:55,17.2,33.18,4.8857,13.0,975.0
2013-10-20 08:20,23.2,33.68,4.6,,986.0
2013-12-22 15:20,17.8,34.44,5.4286,17.0,992.0
2014-02-20 16:15,13.9,34.51,5.7429,16.0,988.0
2014-04-11 15:45,14.3,34.44,6.4,8.0,984.0
2014-06-13 10:00,18.4,33.96,5.7143,21.0,967.0
2014-08-20 11:25,23.1,32.44,4.7714,,1021.0
2014-10-21 02:00,22.6,33.88,4.6,,1018.0
2014-12-23 10:20,16.5,34.33,4.9714,17.0,1029.0
2015-02-25 12:10,13.0,34.39,6.09,15.0,1023.0
2015-04-17 11:10,13.9,34.1,5.8,11.0,1022.0
2015-06-20 10:40,20.3,33.67,5.74,22.0,1013.0
2015-08-17 12:05,21.4,32.32,5.46,16.0,1010.0
2015-10-21 20:40,19.0,31.83,5.0,,1022.0
2015-12-19 09:45,16.5,33.72,5.11,21.0,1037.0
2016-03-03 11:00,11.7,34.2,5.9714,13.0,1029.0
2016-04-16 02:00,15.9,34.53,,,1023.0
2016-06-17 13:00,15.4,33.85,5.7429,23.0,1013.0
2016-08-13 11:10,18.9,33.19,4.2,12.0,1012.0
2016-10-16 11:25,21.8,32.51,4.9429,10.0,1025.0
2016-12-12 10:55,18.1,34.27,5.1143,25.0,1029.0
2017-02-19 05:45,13.9,34.5,5.857,,1028.0
2017-04-15 18:55,15.6,34.63,5.886,,1018.0
2017-06-14 11:00,16.4,34.01,5.943,16.0,1016.0
2017-08-22 22:05,20.3,33.47,4.486,,1019.0
2017-10-25 17:05,20.6,,5.029,9.0,1028.0
2017-12-20 04:35,15.8,34.34,5.2,,1034.0
2018-02-22 17:45,12.3,34.51,6.0,13.0,1025.0
2018-04-19 12:35,13.9,34.4,6.39,8.0,1023.0
2018-06-17 20:50,20.3,33.66,5.343,,1015.0
2018-08-14 10:30,20.2,33.15,5.657,23.0,1017.0
2018-10-21 19:45,22.3,33.99,,,1022.0
2018-12-16 14:55,16.1,34.04,4.829,13.0,1024.0
2019-02-20 20:40,14.8,34.52,5.7429,,1029.0
2019-04-29 10:10,17.1,34.58,,,1021.0
2019-06-15 15:25,16.6,33.76,6.0,18.0,1004.0
2019-08-13 07:18,18.3,33.01,5.1714,19.0,1009.0
2019-10-30 13:48,21.4,33.38,5.0857,13.0,1025.0
2019-12-10 11:40,19.1,34.39,5.0,17.0,1026.0
2020-02-28 23:20,15.2,34.56,6.0571,,1024.0
2020-04-29 14:24,14.6,34.45,6.2,7.0,1026.0
2020-06-10 13:21,15.7,33.85,5.3429,17.0,1016.0
2020-08-20 14:30,19.2,33.69,4.2286,18.0,1017.0
2020-10-19 14:00,21.7,32.9,4.1429,,1029.0
2020-12-11 22:22,17.7,34.16,4.7714,,1023.0
2021-03-01 05:25,15.0,34.72,5.8286,,1027.0
2021-04-27 06:00,17.0,34.65,5.5429,9.0,1026.0
