년도,월,수온(50m),염분(50m),용존산소(50m),기압
2007,12,15.6,33.23,4.73,1019.0
2008,1,15.0,33.61,5.075,1029.0
2008,2,14.4,33.99,5.42,1039.0
2008,3,13.3,33.95,5.46,1030.5
2008,4,12.2,33.91,5.5,1022.0
2008,5,13.15,34.105,4.9350000000000005,1016.0
2008,6,14.1,34.3,4.37,1010.0
2008,7,14.3,34.36,4.335,1010.5
2008,8,14.5,34.42,4.3,1011.0
2008,9,17.25,34.19,4.095,1016.0
2008,10,20.0,33.96,3.89,1021.0
2008,11,18.0,33.925,4.275,1025.5
2008,12,16.0,33.89,4.66,1030.0
2009,1,14.9,34.1,5.255,1025.0
2009,2,13.8,34.31,5.85,1020.0
2009,3,13.7,34.275000000000006,5.74,1015.0
2009,4,13.6,34.24,5.63,1010.0
2009,5,13.8,34.0,5.455,1006.5
2009,6,14.0,33.76,5.279999999999999,1003.0
2009,7,13.95,33.545,5.105,1005.0
2009,8,13.9,33.33,4.93,1007.0
2009,9,14.8,33.21,4.404999999999999,1012.75
2009,10,15.7,33.09,3.88,1018.5
2009,11,16.799999999999997,33.465,4.529999999999999,1021.75
2009,12,17.9,33.84,5.18,1025.0
2010,1,16.25,34.14,5.415,1023.0
2010,2,14.6,34.44,5.65,1021.0
2010,3,13.75,34.395,5.925000000000001,1021.0
2010,4,12.9,34.35,6.2,1021.0
2010,5,14.2,34.32,5.26325,1018.0
2010,6,15.5,34.29,4.3265,1015.0
2010,7,15.4,34.31,4.325200000000001,1012.5
2010,8,15.3,34.33,4.3239,1010.0
2010,9,16.200000000000003,34.06,4.0218,1011.5
2010,10,17.1,33.79,3.7197,1013.0
2010,11,16.55,33.955,4.1855,1013.0
2010,12,16.0,34.12,4.6513,1013.0
2011,1,14.15,34.315,5.47655,1015.5
2011,2,12.3,34.51,6.3018,1018.0
2011,3,13.0,34.47,6.331799999999999,1019.5
2011,4,13.7,34.43,6.3618,1021.0
2011,5,13.7,34.125,6.131399999999999,1013.0
2011,6,13.7,33.82,5.901,1005.0
2011,7,14.0,34.035,5.45415,1004.0
2011,8,14.3,34.25,5.0073,1003.0
2011,9,15.0,34.025,4.13215,1013.5
2011,10,15.7,33.8,3.257,1024.0
2011,11,16.15,34.015,4.02165,1018.0
2011,12,16.6,34.23,4.7863,1012.0
2012,1,15.35,34.385,5.20745,1010.5
2012,2,14.1,34.54,5.6286,1009.0
2012,3,14.3,34.504999999999995,5.5286,1002.0
2012,4,14.5,34.47,5.4286,995.0
2012,5,14.75,34.355000000000004,4.914300000000001,994.0
2012,6,15.0,34.24,4.4,993.0
2012,7,16.0,33.99,4.34285,993.0
2012,8,17.0,33.74,4.2857,993.0
2012,9,20.1,33.78,4.42855,994.0
2012,10,23.2,33.82,4.5714,995.0
2012,11,19.15,33.915,4.8714,1000.5
2012,12,15.1,34.01,5.1714,1006.0
2013,1,14.25,34.11,5.3857,1003.0
2013,2,13.4,34.21,5.6,1000.0
2013,3,14.6,34.400000000000006,5.642849999999999,994.5
2013,4,15.8,34.59,5.6857,989.0
2013,5,15.15,34.225,5.3714,980.5
2013,6,14.5,33.86,5.0571,972.0
2013,7,15.0,33.875,4.2714,973.5
2013,8,15.5,33.89,3.4857,975.0
2013,9,19.3,33.78,4.0857,980.5
2013,10,23.1,33.67,4.6857,986.0
2013,11,20.450000000000003,34.055,4.92855,989.0
2013,12,17.8,34.44,5.1714,992.0
2014,1,15.85,34.474999999999994,5.41425,990.0
2014,2,13.9,34.51,5.6571,988.0
2014,3,13.9,34.465,5.507099999999999,986.0
2014,4,13.9,34.42,5.3571,984.0
2014,5,14.7,34.32,5.2071000000000005,975.5
2014,6,15.5,34.22,5.0571,967.0
2014,7,16.05,33.835,4.7714,994.0
2014,8,16.6,33.45,4.4857,1021.0
2014,9,19.4,33.675,4.3714,1019.5
2014,10,22.2,33.9,4.2571,1018.0
2014,11,19.3,34.11,4.61425,1023.5
2014,12,16.4,34.32,4.9714,1029.0
2015,1,14.55,34.335,5.4007000000000005,1026.0
2015,2,12.7,34.35,5.83,1023.0
2015,3,13.2,34.21,5.845000000000001,1022.5
2015,4,13.7,34.07,5.86,1022.0
2015,5,14.3,33.879999999999995,5.4,1017.5
2015,6,14.9,33.69,4.94,1013.0
2015,7,15.25,33.599999999999994,4.555,1011.5
2015,8,15.6,33.51,4.17,1010.0
2015,9,16.0,33.584999999999994,3.77,1016.0
2015,10,16.4,33.66,3.37,1022.0
2015,11,16.45,33.855,3.715,1029.5
2015,12,16.5,34.05,4.06,1037.0
2016,1,14.05,34.12,5.0157,1033.0
2016,2,11.6,34.19,5.9714,1029.0
2016,3,13.25,34.334999999999994,5.9857,1026.0
2016,4,14.9,34.48,6.0,1023.0
2016,5,14.95,34.355,5.42855,1018.0
2016,6,15.0,34.23,4.8571,1013.0
2016,7,15.1,34.11,4.3714,1012.5
2016,8,15.2,33.99,3.8857,1012.0
2016,9,16.85,33.34,3.6714,1018.5
2016,10,18.5,32.69,3.4571,1025.0
2016,11,18.35,33.5,4.3,1027.0
2016,12,18.2,34.31,5.1429,1029.0
2017,1,16.05,34.405,5.41445,1028.5
2017,2,13.9,34.5,5.686,1028.0
2017,3,14.35,34.535,5.7285,1023.0
2017,4,14.8,34.57,5.771,1018.0
2017,5,15.1,34.41,5.3285,1017.0
2017,6,15.4,34.25,4.886,1016.0
2017,7,15.75,33.92,4.6,1017.5
2017,8,16.1,33.59,4.314,1019.0
2017,9,18.35,33.775000000000006,4.6855,1023.5
2017,10,20.6,33.96,5.057,1028.0
2017,11,18.15,34.145,5.0285,1031.0
2017,12,15.7,34.33,5.0,1034.0
2018,1,13.9,34.41,5.2145,1029.5
2018,2,12.1,34.49,5.429,1025.0
2018,3,12.9,34.435,5.8425,1024.0
2018,4,13.7,34.38,6.256,1023.0
2018,5,14.5,34.285,5.4425,1019.0
2018,6,15.3,34.19,4.629,1015.0
2018,7,15.9,33.959999999999994,4.6715,1016.0
2018,8,16.5,33.73,4.714,1017.0
2018,9,19.45,33.895,4.814,1019.5
2018,10,22.4,34.06,4.914,1022.0
2018,11,19.3,34.2,4.314,1023.0
2018,12,16.2,34.34,3.714,1024.0
2019,1,14.6,34.31,4.79985,1026.5
2019,2,13.0,34.28,5.8857,1029.0
2019,3,14.6,34.41,5.3,1025.0
2019,4,16.2,34.54,4.7143,1021.0
2019,5,15.9,34.385,4.8,1012.5
2019,6,15.6,34.23,4.8857,1004.0
2019,7,15.6,34.02,4.64285,1006.5
2019,8,15.6,33.81,4.4,1009.0
2019,9,18.5,33.595,3.95715,1017.0
2019,10,21.4,33.38,3.5143,1025.0
2019,11,19.8,33.83,4.35715,1025.5
2019,12,18.2,34.28,5.2,1026.0
2020,1,16.7,34.42,5.77145,1025.0
2020,2,15.2,34.56,6.3429,1024.0
2020,3,14.65,34.455,6.1286000000000005,1025.0
2020,4,14.1,34.35,5.9143,1026.0
2020,5,14.4,34.105000000000004,5.55715,1021.0
2020,6,14.7,33.86,5.2,1016.0
2020,7,16.299999999999997,34.0,4.800000000000001,1016.5
2020,8,17.9,34.14,4.4,1017.0
2020,9,19.05,33.715,3.97145,1023.0
2020,10,20.2,33.29,3.5429,1029.0
2020,11,18.65,33.67,4.18575,1026.0
2020,12,17.1,34.05,4.8286,1023.0
2021,1,15.95,34.379999999999995,5.4,1025.0
2021,2,14.8,34.71,5.9714,1027.0
2021,3,14.9,34.625,5.685700000000001,1026.5
2021,4,15.0,34.54,5.4,1026.0
2021,5,15.95,34.480000000000004,5.25715,1017.0
2021,6,16.9,34.42,5.1143,1008.0
2021,7,16.5,34.21,4.45715,1010.0
2021,8,16.1,34.0,3.8,1012.0
2021,9,19.0,33.739999999999995,4.0143,1018.5
2021,10,21.9,33.48,4.2286,1025.0
2021,11,19.45,33.845,4.5714500000000005,1023.5
2021,12,17.0,34.21,4.9143,1022.0
2022,1,15.3,34.285,5.3,1024.5
2022,2,13.6,34.36,5.6857,1027.0
2022,3,13.6,34.15,5.757149999999999,1023.0
2022,4,13.6,33.94,5.8286,1019.0
2022,5,14.7,34.02,5.4,1014.5
2022,6,15.8,34.1,4.9714,1010.0
2022,7,17.65,34.22,4.4857,1012.0
2022,8,19.5,34.34,4.0,1014.0
2022,9,20.9,34.145,4.0,1020.0
2022,10,22.3,33.95,4.0,1026.0
2022,11,19.0,34.055,4.5,1029.0
2022,12,15.7,34.16,5.0,1032.0
