년도,월,수온(℃)
2008,1,15.65
2008,2,13.5
2008,3,14.35
2008,4,15.2
2008,5,17.5
2008,6,19.8
2008,7,17.8
2008,8,15.8
2008,9,19.85
2008,10,23.9
2008,11,21.0
2008,12,18.1
2009,1,17.1
2009,2,16.1
2009,3,15.1
2009,4,15.0
2009,5,15.95
2009,6,16.9
2009,7,20.299999999999997
2009,8,23.7
2009,9,22.4
2009,10,21.1
2009,11,19.0
2009,12,16.9
2010,1,15.9
2010,2,14.9
2010,3,13.9
2010,4,14.6
2010,5,16.8
2010,6,19.0
2010,7,21.0
2010,8,23.0
2010,9,24.9
2010,10,24.4
2010,11,21.2
2010,12,18.0
2011,1,14.9
2011,2,13.5
2011,3,14.1
2011,4,14.7
2011,5,15.4
2011,6,16.1
2011,7,16.8
2011,8,17.5
2011,9,18.2
2011,10,23.3
2011,11,20.5
2011,12,17.6
2012,1,15.9
2012,2,14.0
2012,3,14.3
2012,4,14.6
2012,5,16.9
2012,6,19.1
2012,7,21.4
2012,8,23.7
2012,9,26.0
2012,10,22.5
2012,11,19.7
2012,12,16.8
2013,1,15.3
2013,2,13.7
2013,3,14.3
2013,4,14.8
2013,5,15.4
2013,6,17.0
2013,7,18.3
2013,8,19.6
2013,9,21.0
2013,10,22.1
2013,11,19.6
2013,12,17.1
2014,1,15.6
2014,2,14.0
2014,3,14.5
2014,4,14.9
2014,5,17.3
2014,6,19.7
2014,7,20.6
2014,8,21.5
2014,9,21.9
2014,10,22.3
2014,11,18.9
2014,12,15.4
2015,1,14.1
2015,2,12.7
2015,3,13.5
2015,4,14.2
2015,5,15.5
2015,6,16.8
2015,7,19.4
2015,8,22.0
2015,9,21.5
2015,10,21.1
2015,11,20.6
2015,12,17.4
2016,1,15.3
2016,2,13.2
2016,3,14.4
2016,4,15.6
2016,5,16.7
2016,6,17.7
2016,7,19.7
2016,8,21.7
2016,9,22.2
2016,10,22.7
2016,11,20.049999999999997
2016,12,17.4
2017,1,16.0
2017,2,14.6
2017,3,14.95
2017,4,15.3
2017,5,17.450000000000003
2017,6,19.6
2017,7,19.55
2017,8,19.5
2017,9,20.7
2017,10,21.9
2017,11,19.0
2017,12,16.1
2018,1,15.4
2018,2,14.7
2018,3,14.0
2018,4,15.1
2018,5,16.4
2018,6,17.7
2018,7,22.15
2018,8,26.6
2018,9,23.25
2018,10,19.9
2018,11,18.7
2018,12,17.5
2019,1,16.55
2019,2,15.6
2019,3,15.95
2019,4,16.3
2019,5,18.1
2019,6,19.9
2019,7,21.7
2019,8,22.0
2019,9,22.75
2019,10,23.5
2019,11,21.25
2019,12,19.05
2020,1,17.0
2020,2,14.5
2020,3,14.95
2020,4,15.4
2020,5,16.0
2020,6,16.6
2020,7,21.0
2020,8,25.4
2020,9,23.8
2020,10,22.3
2020,11,20.8
2020,12,19.3
2021,1,16.85
2021,2,14.4
2021,3,15.350000000000001
2021,4,16.3
2021,5,18.3
2021,6,20.3
2021,7,21.450000000000003
2021,8,22.6
2021,9,22.7
2021,10,22.8
2021,11,22.8
2021,12,17.7
2022,1,15.75
2022,2,13.8
2022,3,15.15
2022,4,16.5
2022,5,18.8
2022,6,21.1
2022,7,20.05
2022,8,19.0
2022,9,20.9
2022,10,22.8
2022,11,20.55
2022,12,18.3
