ÁöÁ¡,ÀÏ½Ã,Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%),Æò±Õ ±â¿Â(¡ÆC)
2015,11,2.6,58,13
2015,11,5.7,54,15.1
2015,11,3.7,58,15.9
2015,11,2.7,62,17.8
2015,11,8.7,71,17.7
2015,11,7.2,90,18.2
2015,11,9.1,87,17.3
2015,11,7.6,71,16
2015,11,6.7,62,17.4
2015,11,10.3,63,17.4
2015,11,9.3,80,16.5
2015,11,5.1,85,18.4
2015,11,4.4,75,17.5
2015,11,13.3,87,14.8
2015,11,7.3,71,14.8
2015,11,2.8,63,16.4
2015,11,3.9,65,16.8
2015,11,7.2,77,16.7
2015,12,3.6,62,12.4
2015,12,4.1,72,13.5
2015,12,5.9,69,11.7
2015,12,8.2,42,7.8
2015,12,7.5,47,10.3
2015,12,7.4,46,7.8
2015,12,8.6,44,4.1
2015,12,4.6,42,5.3
2015,12,2.9,46,7.9
2015,12,6.7,57,8.3
2016,1,6.5,53,8.6
2016,1,9.2,61,11.4
2016,1,4.6,61,13.5
2016,1,6.6,47,12.6
2016,1,6.1,41,9.1
2016,1,8.5,48,8.3
2016,1,7,50,5.8
2016,1,9,52,4.5
2016,1,5.4,50,5.8
2016,1,5.3,49,6.4
2016,1,6.8,44,6.7
2016,1,5.4,46,6
2016,1,6.8,53,3.8
2016,1,5,51,4.4
2016,1,3.2,45,6.3
2016,1,2.9,56,8.2
2016,1,6.7,71,9.2
2016,1,11.3,60,5.4
2016,1,13,54,-0.8
2016,1,5,62,1.1
2016,1,4.7,49,3.9
2016,1,8,53,4.2
2016,1,10.7,53,-0.1
2016,1,10.9,61,-4.7
2016,1,8,56,-0.3
2016,1,7,54,3.7
2016,1,6.2,51,6.5
2016,1,5.5,60,7.6
2016,1,12.3,84,8.5
2016,1,8.8,79,8.2
2016,1,5.4,54,6.8
2016,2,5.6,51,4.5
2016,2,7,51,4.1
2016,2,4.8,44,4.9
2016,2,6.4,43,6
2016,2,6.2,39,6.2
2016,2,7.6,48,3.9
2016,2,5.5,77,4.2
2016,2,7.7,50,6.5
2016,2,9.6,39,7.8
2016,2,4.1,49,7.4
2016,2,4.1,57,10.8
2016,2,8.8,83,13.9
2016,2,7.7,94,14.8
2016,2,9.7,69,9
2016,2,9.7,51,1.5
2016,2,8.3,54,3.7
2016,2,7.7,46,5.1
2016,2,7.2,53,7.8
2016,2,6,54,10.6
2016,2,8.3,73,8.8
2016,2,5.8,41,4.7
2016,2,3.6,54,8.3
2016,2,7.2,46,8.7
2016,2,8,80,3.9
2016,2,7.7,45,4
2016,2,7.7,53,7.7
2016,2,7.3,69,10.7
2016,2,7.3,69,12
2016,2,10.5,50,3.1
2016,3,5.2,46,3
2016,3,8.6,54,8.4
2016,3,8.2,68,12.1
2016,3,5.1,91,12.7
2016,3,6,90,13.4
2016,3,7.3,93,13.7
2016,3,5.9,67,11.6
2016,3,5.1,52,11.6
2016,3,8.4,73,8.3
2016,3,8.4,73,6.8
2016,3,5.5,48,4.3
2016,3,4.1,40,5.9
2016,3,1.7,45,8.7
2016,3,7.7,62,8.5
2016,3,3.9,57,9.1
2016,3,8.2,60,12.4
2016,3,6.8,70,13.6
2016,3,5.4,90,13.7
2016,3,8.4,73,12.2
2016,3,7.3,62,9.5
2016,3,5.5,55,9.4
2016,3,8.8,69,12.3
2016,3,8,71,10.4
2016,3,10.1,59,8.3
2016,3,4.9,51,8
2016,3,3.3,74,7.4
2016,3,4.6,61,10.1
2016,3,6.9,49,12.5
2016,3,11.6,65,14
2016,3,6.3,74,14.6
2016,3,4,81,14.5
2016,4,5.8,86,13.8
2016,4,5.4,86,14.1
2016,4,6.6,90,13.8
2016,4,7.6,80,11.8
2016,4,5.6,74,13.9
2016,4,3.1,74,14.9
2016,4,6.7,89,13.5
2016,4,5.5,76,15.5
2016,4,6.5,78,16
2016,4,7,75,13.8
2016,4,8.4,65,9.8
2016,4,5,65,12.2
