지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22104,1999-01,6.1,1024.3,41,5,16.7,1.6,0.5,0.7,2.1,1,1.1
22104,1999-01,7.2,1017.4,50,8.7,17.4,1.6,0.5,0.8,2.2,0.9,1
22104,1999-01,3.7,1018.4,51,9.2,16.8,1.2,0.4,0.5,1.7,0.8,1
22104,1999-01,3.8,,,,,1.1,0.3,0.4,1.5,0.8,1
22104,1999-01,4.1,1022,49,11,15.9,,,,,0.7,0.9
22104,1999-01,5.4,,,,,0.7,0.2,0.3,1,0.9,1.1
22104,1999-01,10.3,,,,,1.7,0.6,0.8,2.1,1.7,7.5
22104,1999-01,9.6,1022.7,49,,15.6,1.8,0.6,0.7,2.4,0.9,1.1
22104,1999-01,8.3,1024.2,46,,16.1,1.7,0.6,0.8,2.5,1,1.1
22104,1999-01,8.1,1025.6,47,,15.4,1.6,0.6,0.7,2.3,1,1.1
22104,1999-01,8.3,1026.2,50,,15,1.6,0.6,0.7,2.4,1,1.1
22104,1999-01,6.6,1026.8,51,4.3,14.9,1.5,0.5,0.7,1.9,1,1.2
22104,1999-01,4.5,1024.3,47,5.5,15.4,1.2,0.4,0.5,1.7,0.9,1
22104,1999-01,,1021.7,54,4.8,14.7,,,,,,
22104,1999-01,6.1,1026.4,54,5.5,14.7,1.3,0.4,0.5,1.5,1.1,7.5
22104,1999-01,4.4,1030.3,60,7.3,14.3,1.5,0.5,0.6,1.8,0.8,1
22104,1999-01,4.8,1020.5,72,9.4,15.4,1.1,0.3,0.6,1.9,0.9,1
22104,1999-01,,1023,48,6,14.7,1.2,0.4,0.5,1.8,3.8,7.5
22104,1999-01,,1026.3,54,4.1,14.4,1.5,0.5,0.6,2.4,0.9,1
22104,1999-01,,1023.3,63,7.5,14.3,,,,,1.1,7.5
22104,1999-01,8.4,1019,72,10.2,14.4,1.6,0.5,1.1,3.6,1.7,7.5
22104,1999-01,,1011.4,65,10.8,14.3,,,,,,
22104,1999-01,5.8,1016.9,41,8.2,13.9,1.1,0.4,0.5,1.5,1,1.1
22104,1999-01,5,,,,,0.9,0.3,0.5,1.9,1,1.1
22104,1999-01,5.5,1018.6,43,6.8,13.4,1.3,0.4,0.6,2.1,1.6,7.5
22104,1999-01,7.8,1018.4,45,5.1,13.8,1.4,0.5,0.6,1.6,0.8,1
22104,1999-01,5,1021,53,,14.1,1.3,0.4,0.6,1.8,0.8,1.1
22104,1999-01,2.8,1019.4,43,6.5,14,0.8,0.3,0.4,1.2,0.9,1.5
22104,1999-02,5.3,1013.8,46,9.3,13.7,0.8,0.2,0.4,1.1,1.4,7.5
22104,1999-02,9.2,1012.1,52,5,12.8,1.6,0.5,0.9,2.5,2.1,7.5
22104,1999-02,,1016.5,54,,12.4,,,,,,
22104,1999-02,6.3,1023.4,51,,12.3,2.6,0.9,1.3,4.3,1.1,1.2
22104,1999-02,6.3,1026.6,51,4,12.9,1.6,0.6,0.7,2.1,1,1.2
22104,1999-02,4.3,1027.7,57,6.1,12.6,1.2,0.4,0.5,1.8,0.9,1.1
