지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22189,2015-11,2.6,1024.8,58,13,16.4,1.5,0.4,0.7,6,24.4,64
22189,2015-11,5.7,1021.2,54,15.1,21.2,1.3,0.7,1.1,2.8,6.6,64
22189,2015-11,3.7,1028.1,58,15.9,19.9,1.1,0.6,1.1,2,9.5,64
22189,2015-11,2.7,1022.3,62,17.8,20.3,0.9,0.3,0.5,4,16.2,64
22189,2015-11,8.7,1026.1,71,17.7,19.6,2.5,1.4,2.4,3.8,5.3,8
22189,2015-11,7.2,1022.3,90,18.2,20.3,4,2.2,2.8,5.1,7.8,9.1
22189,2015-11,9.1,1016.1,87,17.3,20.4,4.9,3,3.9,6.3,7.8,9.1
22189,2015-11,7.6,1015.1,71,16,20.2,3.6,2.1,2.5,4.8,8.1,9.1
22189,2015-11,6.7,1026.8,62,17.4,20.1,3.5,2.1,2.4,4.1,8.2,10.7
22189,2015-11,10.3,1028.9,63,17.4,20,4.2,2.5,2.9,5.3,6.2,7.1
22189,2015-11,9.3,1020.5,80,16.5,20,3.5,2.1,2.8,5,6.2,7.1
22189,2015-11,5.1,1012.8,85,18.4,19.8,2.5,1.5,2,3.3,7,8
22189,2015-11,4.4,1019.1,75,17.5,19.7,2,1.2,2,3.3,5.9,7.1
22189,2015-11,13.3,1012.6,87,14.8,20.5,6.2,3.6,5.2,9.6,7.2,9.1
22189,2015-11,7.3,1022.3,71,14.8,20.4,4.7,2.8,4.5,9.2,7.7,8
22189,2015-11,2.8,1022.5,63,16.4,20.1,1.7,1,1.5,2.5,6.6,8
22189,2015-11,3.9,1019.4,65,16.8,19.7,1.4,0.9,1.2,1.9,6.5,7.1
22189,2015-11,7.2,1020.3,77,16.7,19.3,2.8,1.6,2.2,4.5,6.7,8
22189,2015-12,,,,,,,,0.6,1,,2.7
22189,2015-12,3.6,1027.3,62,12.4,17.9,0.8,0.4,0.6,1.1,3.7,5.8
22189,2015-12,4.1,1020.3,72,13.5,17.9,1,0.6,0.9,1.4,4.5,5.8
22189,2015-12,5.9,1016.9,69,11.7,17.9,1.6,0.9,1.1,2.9,4.6,5.3
22189,2015-12,8.2,1017.9,42,7.8,17.7,2.5,1.5,2,3.4,6,8
22189,2015-12,7.5,1019.2,47,10.3,17.6,2.2,1.2,1.8,3.7,6.7,8
22189,2015-12,7.4,1019.3,46,7.8,17.6,3.1,1.7,2.7,5,7.4,9.1
22189,2015-12,8.6,1022.6,44,4.1,17.5,,,2,4.2,6.7,8
22189,2015-12,4.6,1030.6,42,5.3,17.1,2.2,1.3,1.9,3.1,6.2,8
22189,2015-12,2.9,1022.4,46,7.9,17.1,1.4,0.7,0.9,2.1,6.1,7.1
22189,2015-12,6.7,1022,57,8.3,16.9,1.7,0.9,1.3,2.1,4.7,7.1
22189,2016-01,6.5,1023.2,53,8.6,16.8,1.9,0.9,1.4,3.1,5,6.4
22189,2016-01,9.2,1023.3,61,11.4,16.6,2.2,1,1.8,3.8,4.1,5.3
22189,2016-01,4.6,1018.7,61,13.5,17.1,1.1,0.6,1,1.9,3.1,4
22189,2016-01,6.6,1020.1,47,12.6,17,1.6,0.9,1.1,2.4,4.9,7.1
22189,2016-01,6.1,1023.6,41,9.1,16.6,,,1.5,3.5,,6.4
22189,2016-01,8.5,1021.5,48,8.3,16.7,,,1.6,3.6,,8
22189,2016-01,7,1021,50,5.8,16.3,1.9,1.1,1.6,2.7,5,6.4
22189,2016-01,9,1020.4,52,4.5,16.4,2.3,1.3,1.6,3,6.4,8
22189,2016-01,5.4,1023.4,50,5.8,16.5,1.9,1.1,1.4,2.3,6.1,8
22189,2016-01,5.3,1024.7,49,6.4,16.1,1.6,0.9,1.2,3.6,5.2,7.1
22189,2016-01,6.8,1022.8,44,6.7,16.2,2.4,1.2,1.4,4.1,6.2,8
22189,2016-01,5.4,1019.9,46,6,16.2,2.6,1.5,2.3,3.9,6.9,8
22189,2016-01,6.8,1018.1,53,3.8,16.1,2.6,1.2,1.7,3.4,5.6,8
22189,2016-01,5,1020.7,51,4.4,16.1,1.8,1,1.3,2.6,6.2,7.1
22189,2016-01,3.2,1021.4,45,6.3,15.9,1.6,0.8,1.3,2.2,6.4,7.1
22189,2016-01,2.9,1022.2,56,8.2,15.3,1.2,0.7,0.8,1.5,5.8,7.1
22189,2016-01,6.7,1015.8,71,9.2,15.7,1.8,1,1.4,2.6,5.1,7.1
22189,2016-01,11.3,1008.3,60,5.4,15.9,3,1.5,2.2,6.3,5.1,7.1
22189,2016-01,13,1015.5,54,-0.8,15.7,5.2,2.8,3.4,6.6,7.8,10.7
22189,2016-01,5,1025.4,62,1.1,13.4,6.4,3.8,4.9,8.1,10.8,12.8
22189,2016-01,4.7,1023.8,49,3.9,13.1,4.1,2.4,3.4,6.1,10.6,12.8
22189,2016-01,8,1025.9,53,4.2,14.2,3.9,2.3,2.9,4.6,8.1,10.7
22189,2016-01,10.7,1018.6,53,-0.1,13.9,,1.9,2.3,4.2,7,8
22189,2016-01,10.9,1020.7,61,-4.7,12.9,4,2.2,2.8,7.1,7.3,9.1
22189,2016-01,8,1025.5,56,-0.3,11.9,3.8,2.2,3.8,6.1,8.3,9.1
22189,2016-01,7,1019.1,54,3.7,12.8,2.7,1.5,1.7,3.1,6,8
22189,2016-01,6.2,1028.7,51,6.5,13.7,2,1,1.3,3.7,5,6.4
22189,2016-01,5.5,1027.4,60,7.6,13.2,1.3,0.8,1.2,2.2,4.6,6.4
22189,2016-01,12.3,1021.4,84,8.5,13.7,4.3,2.4,3.5,6.1,5.1,7.1
22189,2016-01,8.8,1023.4,79,8.2,13.4,4.8,2.8,3.8,6.8,6.2,9.1
22189,2016-01,5.4,1025.5,54,6.8,13,2.2,1.3,1.9,2.7,4.8,7.1
22189,2016-02,5.6,1024.6,51,4.5,13.4,,,1.8,4.2,5.5,7.1
22189,2016-02,7,1024.6,51,4.1,13.6,3.3,1.8,2.4,4.3,4.9,7.1
22189,2016-02,4.8,1025.4,44,4.9,13.7,2,1.1,1.4,2.7,4.5,7.1
22189,2016-02,6.4,1023.5,43,6,13.4,1.4,0.7,1.1,2.2,3.2,6.4
22189,2016-02,6.2,1020.7,39,6.2,13.6,1.8,0.9,1.3,3.7,3.4,6.4
22189,2016-02,7.6,1020.3,48,3.9,13.2,2.2,1.2,1.6,3.5,4,5.3
22189,2016-02,5.5,1014.8,77,4.2,13.7,2.8,1.6,2.5,3.9,5.4,8
22189,2016-02,7.7,1017.1,50,6.5,13.9,1.9,1,1.9,4.4,3.9,6.4
22189,2016-02,9.6,1019.3,39,7.8,13.8,,,2,4.6,,6.4
22189,2016-02,4.1,1026.7,49,7.4,13.7,2.2,1,1.4,4.7,4.9,8
22189,2016-02,4.1,1027.6,57,10.8,13.8,1.5,0.8,1,3,6.4,9.1
22189,2016-02,8.8,1020.6,83,13.9,13.7,,1.6,2.5,5.3,5.9,8
22189,2016-02,7.7,1008.8,94,14.8,14.4,2.7,1.2,2.1,4.1,5.3,8
22189,2016-02,9.7,1007.6,69,9,14.7,4.5,2.5,3.8,6.8,7.8,10.7
22189,2016-02,9.7,1016.8,51,1.5,14,5.4,2.5,3.8,8.5,10,10.7
22189,2016-02,8.3,1017.7,54,3.7,13.9,3,1.8,2.4,4,7.9,10.7
22189,2016-02,7.7,1022.9,46,5.1,13.9,2.4,1.3,1.9,4.6,6.1,8
22189,2016-02,7.2,1023.1,53,7.8,13.9,1.7,1,1.6,3.8,5.9,8
22189,2016-02,6,1025,54,10.6,13.8,1.9,1.1,2,3.1,4.6,5.8
22189,2016-02,8.3,1019.5,73,8.8,13.7,2.8,1.3,2.4,5.2,5.1,6.4
22189,2016-02,5.8,1028.1,41,4.7,13.5,2.6,1.1,1.9,3.9,6,7.1
22189,2016-02,3.6,1029.6,54,8.3,13.6,1.6,0.8,1,4.6,6.5,8
22189,2016-02,7.2,1026.3,46,8.7,13.8,,,1.1,2.6,,7.1
22189,2016-02,8,1029.4,80,3.9,13.9,3.5,2.1,2.9,5,6.9,9.1
22189,2016-02,7.7,1032.3,45,4,13.7,,,1.7,4.3,6.1,8
22189,2016-02,7.7,1029,53,7.7,13.8,1.6,1,1.1,2,4.1,7.1
22189,2016-02,7.3,1023.5,69,10.7,13.4,2.6,1.4,2.5,4.3,5.4,6.4
22189,2016-02,7.3,1019.8,69,12,13.5,,1.1,2.5,3.9,4.6,6.4
22189,2016-02,10.5,1022,50,3.1,13.8,,2,2.8,5,6.2,9.1
22189,2016-03,5.2,1026.1,46,3,14.1,4.7,2.7,3.5,5.8,9.3,10.7
22189,2016-03,8.6,1024.9,54,8.4,14.1,3.7,2.1,2.9,4.7,9.6,10.7
22189,2016-03,8.2,1024.4,68,12.1,14.1,2.1,1.3,2,3.8,4.5,5.8
22189,2016-03,5.1,1026.4,91,12.7,14.1,1.4,0.8,1.1,1.9,4.2,5.3
22189,2016-03,6,1022.9,90,13.4,14.1,,,1.7,2.6,,4.9
22189,2016-03,7.3,1017.9,93,13.7,14.1,2.3,1.2,1.9,6.9,4.7,5.8
22189,2016-03,5.9,1018.5,67,11.6,13.8,2,1,1.3,3.7,4.8,5.8
22189,2016-03,5.1,1019.3,52,11.6,13.6,1.3,0.8,1.1,1.9,4.8,6.4
22189,2016-03,8.4,1019,73,8.3,13.6,3.2,1.9,3.1,5.2,6.5,7.1
22189,2016-03,8.4,1021.4,73,6.8,13.4,3.2,1.8,2.3,3.9,6.8,8
22189,2016-03,5.5,1023.1,48,4.3,13.4,1.9,1.1,1.5,3.7,5.2,6.4
22189,2016-03,4.1,1024.6,40,5.9,14.5,1.2,0.7,1,1.7,5.2,7.1
22189,2016-03,1.7,1023,45,8.7,14.6,0.6,0.4,0.5,0.8,4.6,6.4
22189,2016-03,7.7,1019.7,62,8.5,13.9,2.1,1.2,2.2,3.7,4.8,6.4
22189,2016-03,3.9,1023.2,57,9.1,15,1.6,1,1.4,2.2,6.1,7.1
22189,2016-03,8.2,1020.9,60,12.4,14.6,1.6,0.9,1.5,2.5,3.9,5.8
22189,2016-03,6.8,1020,70,13.6,14.7,1.2,0.7,1.2,2,3.4,4.3
22189,2016-03,5.4,1012.4,90,13.7,14.9,1.3,0.8,1.1,1.8,4.1,5.8
22189,2016-03,8.4,1013.8,73,12.2,15.1,2.3,1.5,2.1,3.9,5.7,7.1
22189,2016-03,7.3,1021.9,62,9.5,14.6,2.4,1.5,1.7,3,6.4,7.1
22189,2016-03,5.5,1023.7,55,9.4,14.4,1.6,1,1.3,2.1,5.8,7.1
22189,2016-03,8.8,1017.2,69,12.3,14.4,2,1.2,1.9,3.2,4.6,9.1
22189,2016-03,8,1017.8,71,10.4,14.2,2.3,1.4,1.7,2.9,5.6,6.4
22189,2016-03,10.1,1023,59,8.3,14.2,2.9,1.8,2.4,4,6,7.1
22189,2016-03,4.9,1024.6,51,8,14.4,1.8,1.1,1.5,2.6,6.4,7.1
22189,2016-03,3.3,1021.5,74,7.4,14.6,1.1,0.7,0.9,1.6,7.3,9.1
22189,2016-03,4.6,1018.6,61,10.1,15.4,1.1,0.7,1.3,2.1,5.9,8
22189,2016-03,6.9,1020.8,49,12.5,15.4,1.6,1,1.5,2.4,4.3,5.3
22189,2016-03,11.6,1020.3,65,14,15.2,2.6,1.6,2.5,4.6,5,6.4
22189,2016-03,6.3,1019.1,74,14.6,15.6,1.8,1.1,1.9,3.4,5.7,7.1
22189,2016-03,4,1016.8,81,14.5,15.5,0.9,0.5,0.9,1.7,4.8,5.8
22189,2016-04,5.8,1015.4,86,13.8,15.5,1.1,0.7,1.2,2,4.5,8
22189,2016-04,5.4,1019.3,86,14.1,15.7,1.3,0.8,1.1,1.9,4.4,7.1
22189,2016-04,6.6,1017.5,90,13.8,15.5,1.6,1,1.5,2.8,5.4,7.1
22189,2016-04,7.6,1013.5,80,11.8,15.5,3,1.9,2.3,3.7,6.6,8
22189,2016-04,5.6,1015.4,74,13.9,15.6,1.8,1.1,1.6,2.8,6.3,8
22189,2016-04,3.1,1017,74,14.9,15.7,0.7,0.4,0.8,1.2,3.8,7.1
22189,2016-04,6.7,1007.3,89,13.5,15.5,2.6,1.6,2.3,4,6.1,8
22189,2016-04,5.5,1014.3,76,15.5,15.6,1.4,0.9,1.3,2,6.4,8
22189,2016-04,6.5,1013.6,78,16,16.1,1.2,0.7,1.1,1.7,4,7.1
22189,2016-04,7,1013.8,75,13.8,15.9,1.8,1.1,2,3.8,5.3,7.1
22189,2016-04,8.4,1021.4,65,9.8,15.5,3.1,1.9,2.8,5.3,6.9,8
22189,2016-04,5,1018.2,65,12.2,15.7,1.8,1.1,1.6,2.5,5.8,7.1
22189,2016-04,6.8,1008.4,87,15.1,15.9,1.9,1.2,1.6,2.7,5.3,6.4
22189,2016-04,3.1,1010,90,15.4,16.3,0.8,0.5,0.8,1.1,3.8,6.4
22189,2016-04,5.3,1020.7,67,13.4,16,2,1.3,1.7,3.1,5.4,6.4
22189,2016-04,6.7,1012.3,79,15.2,16.2,1.5,0.9,3.1,4.5,4.9,7.1
22189,2016-04,13.5,1002.7,68,15.5,15.8,5.2,3.2,5.2,8.8,7.8,9.1
22189,2016-04,8.2,1014.7,53,14.7,15.6,2.2,1.4,1.9,3,6.9,9.1
22189,2016-04,6.1,1022.6,56,13.7,15.7,2.3,1.4,1.9,3.1,9.4,10.7
22189,2016-04,4.6,1021,70,14.9,16,1.4,0.9,1.1,1.9,8.6,9.1
22189,2016-04,7.2,1005.9,91,15.2,15.8,2.1,1.3,2.3,4.2,5.7,8
22189,2016-04,6.9,1008.5,89,15.4,15.8,1.7,1.1,1.7,2.9,5.2,8
22189,2016-04,4.5,1012.2,67,16.2,15.8,1.3,0.7,1.5,2.7,4.8,6.4
22189,2016-04,6.5,1015.3,72,15.4,15.8,1.4,0.8,1.3,2.1,5.2,7.1
22189,2016-04,3.9,1017.9,81,15.2,16.4,0.9,0.6,0.8,1.2,4.8,5.8
22189,2016-04,6,1016.6,87,15.3,16.5,1.6,1,2.4,3.5,4.7,7.1
22189,2016-04,14,1008.4,92,13.8,16.1,5,3.1,4.6,8.2,7.2,9.1
22189,2016-04,12.7,1006.8,81,13.1,15.8,6.1,3.9,5.7,9.1,8,9.1
22189,2016-04,5.4,1013.2,63,14.9,16.1,2.5,1.5,2.3,4,7.1,8
22189,2016-04,11,1013,83,16.4,15.9,2.4,1.5,2,3.1,5.2,8
22189,2016-05,9.6,1015.2,86,17.1,16.1,2.2,1.4,1.8,2.8,4.9,9.1
22189,2016-05,5.9,1015.3,92,17.3,16.5,1.2,0.7,1.1,1.6,6.5,9.1
22189,2016-05,13.6,1000.3,81,16.8,16,4.5,2.8,4.8,7.2,6.7,9.1
22189,2016-05,12.4,1005.2,72,16.9,15.8,4.6,2.8,3.5,5.9,6.9,8
22189,2016-05,4.9,1015.3,73,17,15.9,1.8,1.1,2,3,6,7.1
22189,2016-05,6.8,1008.7,92,16.7,15.8,1.8,1.1,1.6,2.8,5.1,7.1
22189,2016-05,4.7,1012,81,16.8,15.9,1.4,0.8,1.5,2.9,4.8,9.1
