년도,월,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
2013년,12월,7.367889908,1021.128571,60.12149533,6.344859813,12.18878505,1.717431193,1.064220183,1.453719008,2.459504132,5.813761468,8.033057851
2014년,01월,6.153846154,1024.04127,59.81395349,5.382170543,10.42790698,1.384615385,0.864615385,1.236879433,2.102836879,5.434108527,7.413475177
2014년,02월,6.473484848,1023.608462,69.38167939,5.617424242,10.07575758,1.836363636,1.158333333,1.600729927,2.66350365,5.466666667,7.25620438
2014년,03월,5.686619718,1020.183688,70.07857143,8.615646259,10.56369863,1.620945946,1.005405405,1.485806452,2.488387097,5.177027027,7.020645161
2014년,04월,4.387586207,1016.871329,77.13013699,12.64931507,13.09315068,1.133098592,0.697183099,1.070469799,1.840268456,4.742253521,7.440268456
2014년,05월,4.605405405,1011.678322,80.11805556,16.16875,15.89291339,1.112162162,0.643243243,0.96516129,1.754193548,4.684459459,6.811612903
2014년,06월,3.729452055,1006.848571,87.48965517,19.74,19.69310345,1.020547945,0.573287671,0.828666667,1.524,4.765753425,6.730666667
2014년,07월,3.748344371,1007.487919,90.04697987,22.41862069,21.88466667,1.07,0.606,0.896129032,1.663225806,5.438,7.727096774
2014년,08월,4.629139073,1007.702632,88.31944444,23.05486111,23.19150327,1.459602649,0.853333333,1.203870968,2.126451613,5.412080537,7.503870968
2014년,09월,4.210738255,1013.043243,77.25503356,22.37852349,23.29034483,1.251006711,0.713422819,1.035333333,1.853333333,5.052739726,7.134
2014년,10월,5.234146341,1018.941611,68.58,18.56466667,21.02836879,1.765942029,1.05,1.541666667,2.663194444,5.317391304,7.366666667
2014년,11월,5.135294118,1021.080851,64.46808511,13.51347518,17.57659574,1.537762238,0.917482517,1.322666667,2.282,5.033566434,6.914666667
2014년,12월,7.144339623,1023.278571,63.08571429,5.213333333,12.98869565,2.219491525,1.356779661,1.80859375,3.0625,6.011864407,7.62265625
