년도,월,수온
2008,1,15.75
2008,2,14.8
2008,3,14.3
2008,4,13.8
2008,5,14.35
2008,6,14.9
2008,7,15.1
2008,8,15.3
2008,9,20.35
2008,10,25.4
2008,11,20.5
2008,12,15.6
2009,1,14.8
2009,2,14
2009,3,14
2009,4,14
2009,5,15.75
2009,6,17.5
2009,7,21.2
2009,8,24.9
2009,9,23.7
2009,10,22.5
2009,11,20.1
2009,12,17.7
2010,1,16.15
2010,2,14.6
2010,3,14
2010,4,13.4
2010,5,14.65
2010,6,15.9
2010,7,16
2010,8,16.1
2010,9,17.25
2010,10,18.4
2010,11,17.2
2010,12,16
2011,1,14.5
2011,2,13
2011,3,13.65
2011,4,14.3
2011,5,15.8
2011,6,17.3
2011,7,18.85
2011,8,20.4
2011,9,20.55
2011,10,20.7
2011,11,18.8
2011,12,16.9
2012,1,15.55
2012,2,14.2
2012,3,14.9
2012,4,15.6
2012,5,16.1
2012,6,16.6
2012,7,19.35
2012,8,22.1
2012,9,22.25
2012,10,22.4
2012,11,19
2012,12,15.6
2013,1,14.85
2013,2,14.1
2013,3,15
2013,4,15.9
2013,5,15.9
2013,6,15.9
2013,7,16.55
2013,8,17.2
2013,9,20.2
2013,10,23.2
2013,11,20.5
2013,12,17.8
2014,1,15.85
2014,2,13.9
2014,3,14.1
2014,4,14.3
2014,5,16.35
2014,6,18.4
2014,7,20.75
2014,8,23.1
2014,9,22.85
2014,10,22.6
2014,11,19.55
2014,12,16.5
2015,1,14.75
2015,2,13
2015,3,13.45
2015,4,13.9
2015,5,17.1
2015,6,20.3
2015,7,20.85
2015,8,21.4
2015,9,20.2
2015,10,19
2015,11,17.75
2015,12,16.5
2016,1,14.1
2016,2,11.7
2016,3,13.8
2016,4,15.9
2016,5,15.65
2016,6,15.4
2016,7,17.15
2016,8,18.9
2016,9,20.35
2016,10,21.8
2016,11,19.95
2016,12,18.1
2017,1,16
2017,2,13.9
2017,3,14.75
2017,4,15.6
2017,5,16
2017,6,16.4
2017,7,18.35
2017,8,20.3
2017,9,20.45
2017,10,20.6
2017,11,18.2
2017,12,15.8
2018,1,14.05
2018,2,12.3
2018,3,13.1
2018,4,13.9
2018,5,17.1
2018,6,20.3
2018,7,20.25
2018,8,20.2
2018,9,21.25
2018,10,22.3
2018,11,19.2
2018,12,16.1
2019,1,15.45
2019,2,14.8
2019,3,15.95
2019,4,17.1
2019,5,16.85
2019,6,16.6
2019,7,17.45
2019,8,18.3
2019,9,19.85
2019,10,21.4
2019,11,20.25
2019,12,19.1
2020,1,17.15
2020,2,15.2
2020,3,14.9
2020,4,14.6
2020,5,15.15
2020,6,15.7
2020,7,17.45
2020,8,19.2
2020,9,20.45
2020,10,21.7
2020,11,19.7
2020,12,17.7
2021,1,16.35
2021,2,15
2021,3,16
2021,4,17
2021,5,17.4
2021,6,17.8
2021,7,18.3
2021,8,18.8
2021,9,21
2021,10,23.2
2021,11,20.2
2021,12,17.2
2022,1,15.65
2022,2,14.1
2022,3,14.7
2022,4,15.3
2022,5,16.95
2022,6,18.6
2022,7,19.3
2022,8,20
2022,9,21.35
2022,10,22.7
2022,11,19.55
2022,12,16.4
