지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22106,2013-12-04,,,,,,,,0.9,1.4,,5.3
22106,2013-12-05,8.7,1016.7,54,10.8,14.5,1.2,0.8,1.2,2,4.3,7.1
22106,2013-12-06,7.7,1016.9,44,9,14.8,1.8,1.2,1.7,2.6,5.4,8
22106,2013-12-07,7.8,1021.6,51,8.4,14.1,1.8,1.1,1.5,2.3,6.2,8
22106,2013-12-08,3.6,1022.6,51,10.4,16.4,1.2,0.8,1,1.7,6.4,7.1
22106,2013-12-09,9,1008.8,65,12.3,15.9,1.8,1.1,1.8,3.3,4.8,7.1
22106,2013-12-10,10.4,1010.9,61,6.7,15,4.6,2.9,4.1,7,9,10.7
22106,2013-12-11,12.3,1010,54,4.7,13.9,3.5,2.2,3,4.5,7.6,10.7
22106,2013-12-12,11,1016,50,4.3,13.5,3.3,2.1,2.8,4.7,8,10.7
22106,2013-12-13,11.7,1019.7,53,1.3,13.3,3.3,2.1,2.6,4.4,7,9.1
22106,2013-12-14,9.2,1023.8,53,3.1,13.2,2.7,1.7,2.3,4.4,6.6,8
22106,2013-12-15,7.2,1028,45,3.6,13.1,2.4,1.5,1.7,3,6.9,9.1
22106,2013-12-16,2.9,1028.1,52,7,13,2.6,1.6,1.9,3.5,9.2,10.7
22106,2013-12-17,6.1,1025.2,60,8.6,13.1,3.4,2.2,2.6,4.1,11.5,12.8
22106,2013-12-18,11.3,1020.3,63,8.4,13.8,4.2,2.6,2.9,5.2,8.2,10.7
22106,2013-12-19,11.1,1016.5,58,4.2,14,3.2,2.1,2.8,4.4,6.4,9.1
22106,2013-12-20,12.4,1015.9,65,2.3,13.5,4.6,3,5.8,7.9,8.1,12.8
22106,2013-12-21,10.7,1022,62,5.6,13.3,6,3.8,5.7,8.5,10.8,12.8
22106,2013-12-22,6.4,1026.4,60,5.7,13.3,3.7,2.2,2.9,5.1,9.4,10.7
22106,2013-12-23,7.8,1024.4,54,5.4,13.7,2.4,1.5,1.9,2.9,8.7,10.7
22106,2013-12-24,8.3,1027.9,62,7.2,13.9,2.9,1.8,2.3,3.8,6.6,9.1
22106,2013-12-25,3.7,1026.4,57,9,13.8,2.2,1.4,2.1,3.7,8.3,9.1
22106,2013-12-26,11,1016.9,55,6.3,13.8,1.9,1.3,1.9,3.2,4.7,9.1
22106,2013-12-27,11.7,1014.8,56,2.2,13.6,3.5,2.2,3.1,5,6.7,9.1
22106,2013-12-28,10.4,1017.7,51,0.2,13.4,3.9,2.5,3.2,4.9,9.9,12.8
22106,2013-12-29,10.3,1018,50,2.5,13.2,3,1.9,2.5,4.9,9.9,12.8
22106,2013-12-30,8.6,1015.4,50,6.8,13,1.6,1,1.4,2.2,5.1,9.1
22106,2013-12-31,8.3,1011.5,45,8,13,1.6,1,1.4,2.4,4.4,6.4
22106,2014-01-01,8.4,1012.5,37,8.3,13,1.9,1.2,1.5,2.4,5.5,8
22106,2014-01-02,7.1,1018.8,34,8.4,13.1,2.1,1.3,1.8,3.1,7.7,10.7
22106,2014-01-03,5.9,1016,37,9,13.1,1.4,0.8,1.4,2.2,6.2,8
22106,2014-01-04,8.6,1017.5,65,6.9,12.9,2.9,1.9,2.8,4.4,6.5,9.1
22106,2014-01-05,4.4,1021,69,6,12.9,2.7,1.6,2.1,3.5,7,8
22106,2014-01-06,5.9,1026.5,60,6.7,12.7,2.2,1.4,1.6,2.9,6,7.1
22106,2014-01-07,6.5,1023.5,45,7.7,12.6,1.5,1,1.1,1.8,5.5,9.1
22106,2014-01-08,5.9,1017,60,7.3,12.3,1.2,0.8,1.5,2.7,4.6,8
22106,2014-01-09,10.3,1022.1,46,1.3,12.2,4,2.5,3.4,5.6,7.8,10.7
22106,2014-01-10,10.4,1028.9,48,0.7,11.5,2.6,1.6,2.6,4.6,7,9.1
22106,2014-01-11,8.1,1029.2,46,3.3,11.4,1.7,1.1,1.4,2.4,5.5,7.1
22106,2014-01-12,8.7,1025.5,48,4.2,12,1.8,1.1,1.4,2.4,4.7,6.4
22106,2014-01-13,6.6,1028.5,46,2,12.4,2.8,1.7,2.2,3.5,7.5,9.1
22106,2014-01-14,5.3,1030,44,3.1,12.4,2.2,1.4,1.6,2.7,7.5,8
22106,2014-01-15,6.4,1029.5,40,3.4,11.6,2.4,1.4,1.7,3.3,6.8,7.1
22106,2014-01-16,5.3,1027.1,45,4.6,11.5,1.8,1.2,1.5,2.4,7.1,10.7
22106,2014-01-17,5.5,1024.7,44,5.3,11.7,1.7,1.1,1.5,2.7,6,8
22106,2014-01-18,9.8,1023.3,46,3.7,10.9,2.6,1.7,2.7,4.5,6.6,8
22106,2014-01-19,5.8,1027.4,43,3.7,12.2,2.9,1.8,2.4,4.2,8.3,9.1
22106,2014-01-20,6.6,1018.1,52,5.4,12.6,1.5,1,1.2,2.1,7.7,9.1
22106,2014-01-21,10.9,1020.1,65,2,11.9,3.2,2.1,3.2,5.5,6,9.1
22106,2014-01-22,8.7,1025.3,53,2.3,11.8,2.8,1.8,2.6,4.1,7.5,9.1
22106,2014-01-23,5.4,1024.7,45,5.5,11.7,1.2,0.8,1.2,1.7,4.4,7.1
